id	ja	zh-TW	en	ko
1	縦消去	縦消去	縦消去	縦消去
2	黄玉消去	黄玉消去	黄玉消去	黄玉消去
3	青玉チェンジ	青玉チェンジ	青玉チェンジ	青玉チェンジ
4	紫玉レベルアップ	紫玉レベルアップ	紫玉レベルアップ	紫玉レベルアップ
5	万能玉	万能玉	万能玉	万能玉
6	横消去	横消去	横消去	横消去
7	縦横消去	縦横消去	縦横消去	縦横消去
8	X消去	X消去	X消去	X消去
9	範囲消去	範囲消去	範囲消去	範囲消去
10	赤玉消去	赤玉消去	赤玉消去	赤玉消去
11	青玉消去	青玉消去	青玉消去	青玉消去
12	紫玉消去	紫玉消去	紫玉消去	紫玉消去
13	緑玉消去	緑玉消去	緑玉消去	緑玉消去
14	ランダム消去	ランダム消去	ランダム消去	ランダム消去
15	スコア獲得	スコア獲得	スコア獲得	スコア獲得
16	手数(秒数)獲得	手数(秒数)獲得	手数(秒数)獲得	手数(秒数)獲得
17	万能玉チェンジ	万能玉チェンジ	万能玉チェンジ	万能玉チェンジ
18	チェイン玉	チェイン玉	チェイン玉	チェイン玉
19	赤玉チェンジ	赤玉チェンジ	赤玉チェンジ	赤玉チェンジ
20	黄玉チェンジ	黄玉チェンジ	黄玉チェンジ	黄玉チェンジ
21	紫玉チェンジ	紫玉チェンジ	紫玉チェンジ	紫玉チェンジ
22	緑玉チェンジ	緑玉チェンジ	緑玉チェンジ	緑玉チェンジ
23	赤玉レベルアップ	赤玉レベルアップ	赤玉レベルアップ	赤玉レベルアップ
24	黄玉レベルアップ	黄玉レベルアップ	黄玉レベルアップ	黄玉レベルアップ
25	青玉レベルアップ	青玉レベルアップ	青玉レベルアップ	青玉レベルアップ
26	緑玉レベルアップ	緑玉レベルアップ	緑玉レベルアップ	緑玉レベルアップ
27	シャッフル	シャッフル	シャッフル	シャッフル
28	おじゃま玉ダウン	おじゃま玉ダウン	おじゃま玉ダウン	おじゃま玉ダウン
29	ロック玉ダウン	ロック玉ダウン	ロック玉ダウン	ロック玉ダウン
30	しゃぼん玉停止	しゃぼん玉停止	しゃぼん玉停止	しゃぼん玉停止
31	ブロックダウン	ブロックダウン	ブロックダウン	ブロックダウン
32	バリア破壊	バリア破壊	バリア破壊	バリア破壊
33	コンボ数プラス	コンボ数プラス	コンボ数プラス	コンボ数プラス
34	コンボ条件低下	コンボ条件低下	コンボ条件低下	コンボ条件低下
35	チェイン数プラス	チェイン数プラス	チェイン数プラス	チェイン数プラス
36	ベル鳴らし	ベル鳴らし	ベル鳴らし	ベル鳴らし
37	パズル操作スキル	パズル操作スキル	パズル操作スキル	パズル操作スキル
38	パズルALLリフレッシュ	パズルALLリフレッシュ	パズルALLリフレッシュ	パズルALLリフレッシュ
39	パズル玉補充強制変更	パズル玉補充強制変更	パズル玉補充強制変更	パズル玉補充強制変更
40	パズル玉範囲内レベルアップ	パズル玉範囲内レベルアップ	パズル玉範囲内レベルアップ	パズル玉範囲内レベルアップ
41	カラーボックス破壊	カラーボックス破壊	カラーボックス破壊	カラーボックス破壊
42	おじゃま玉→赤	おじゃま玉→赤	おじゃま玉→赤	おじゃま玉→赤
43	おじゃま玉→黄	おじゃま玉→黄	おじゃま玉→黄	おじゃま玉→黄
44	おじゃま玉→青	おじゃま玉→青	おじゃま玉→青	おじゃま玉→青
45	おじゃま玉→紫	おじゃま玉→紫	おじゃま玉→紫	おじゃま玉→紫
46	おじゃま玉→緑	おじゃま玉→緑	おじゃま玉→緑	おじゃま玉→緑
47	ロック玉→赤	ロック玉→赤	ロック玉→赤	ロック玉→赤
48	ロック玉→黄	ロック玉→黄	ロック玉→黄	ロック玉→黄
49	ロック玉→青	ロック玉→青	ロック玉→青	ロック玉→青
50	ロック玉→紫	ロック玉→紫	ロック玉→紫	ロック玉→紫
51	ロック玉→緑	ロック玉→緑	ロック玉→緑	ロック玉→緑
