id	AdvertisementText	QuestText	ReactionText	UnitText	FeedText	LoginText	BoostGroupText	StickerText	FuncText	PhotoText	ChapterText	GachaText	GuideMissionText	SpecialContentText	StillPictureText	AppointmentText	BgmText	StampText	FeatureText	ShopTabText	ProfileText	ShopText	RelationshipText	SituationText	VrText	CampaignText	HomeText	CardText	GrowthRewardText	GuildText	SeasonText	ApText	CampText	PuzzleText	RewardText	InvitationText	LocationText	SkillText	StoryText	ConfessionText	GearText	GuildCampText	MemberText	SeriesText	StageText	TipsText	ArText	BannerText	HelpText	ChallengeText	CraftText	PlayerTitleText	TeamBattleText	WorkText	HomeBgmText	LotteryText	CharaNaviText	CollectionText	ItemText	AreaText	AttributeText	CommonText
0																			0																																											
1		ダミークエスト	測試	tw	tw	登入獎勵	服裝	圓	解鎖「社團」		○○		第一集①	tw	メインストーリー第1章	tw	BGM01	集章活動1	活動幫助・注意事項			お助けアイテム「ハンマー」×3(TW)	tw	tw	tw	時限パズル報酬増量キャンペーン	"呼啊……
早安──"	未使用(TW)	tw				富士山和本栖湖悠閒露營	おねだりステージ	【テスト用】報酬なし(TW)	tw		縦消去	序章2	tw			0	tw	tw	tw	V字形手勢	ガチャへ	tw	將夥伴等級提升至{0}		相約露營初學者	イベントヘルプ・注意事項	tw	牽手露營	テスト	あいうえお◯◯◯◯◯◯◯◯◯◯◯	tw			0	我看看呐，今天預定要……
2		メインストーリー				〇〇通行證(30天)限定	輔助卡	A	「紀念拍照」新增姿勢				第一集②		メインストーリー第2章		BGM02	集章活動2	使用條款			★3兌換券				挨拶獲得FP2倍キャンペーン	"蛋包飯啊
是從日本起源的喔。"	ダミー(TW)					活動・任務測試用	もっとおねだりステージ	【テスト用】アイテム(TW)			黄玉消去	序章3				關係+1				揮手			獲得{0}張輔助卡		多彩風景	利用規約		露營主題~本栖湖~	テスト注意文言	かきくけこ◯◯◯◯◯◯◯◯◯◯◯				關係+1	好啦，要先從哪邊開始呢？
3		日替わりデート				新鮮通行證(10天)限定		B	解鎖「紀念拍照」的濾鏡				第一集③		メインストーリー第3章		BGM03	集章活動3				"★3『搖曳露營△②服裝』
各務原撫子"				◯◯パズルクリア報酬2倍キャンペーン	我看看呐，今天預定要……	『夏季露營服』					測試露營	ひみつのおねだりステージ	【テスト用】カード(TW)			青玉チェンジ	富士山與咖哩泡麵				滿足+1				大聲揮手			強化{0}張輔助卡		未知的世界			露營主題~麓~	テストしないテストしようテストしますテストしたテストしたときテストすればテストしろ！	さしすせそ◯◯◯◯◯◯◯◯◯◯◯				滿足+1	怎麼辦呢。
4		時間限定デート				常規通行證(10天)限定		C	解鎖「紀念拍照」的鏡頭				第一集④		メインストーリー第4章		BGM04	集章活動4				日式饅頭套裝				カード強化獲得経験値1.5倍キャンペーン	"午餐
很好吃喔──"	『夏季服裝（橘色）』							【テスト用】HC(TW)			紫玉レベルアップ	歡迎來到野活組！				舒適+1				遙望遠方			提升{0}次輔助卡階級		一起尋找吧			露營主題~高孤山、EAST WOOD~		たちつてと◯◯◯◯◯◯◯◯◯◯◯				舒適+1	要做什麼呢……
5		チュートリアル				特別限定登入獎勵		D	解鎖「AR」				第一集⑤		メインストーリー第5章		BGM05	集章活動5				"★3『搖曳露營△①服裝』
志摩凜"				◯◯チャレンジ経験値2倍キャンペーン	"很久很久以前，在某個地方
有個名叫
撫子的女孩子……"	『夏季服裝（藍色）』							【テスト用】プレイヤー経験値(TW)			万能玉	富士山與悠閒火鍋露營				溫暖+1				指著			突破{0}次輔助卡極限		Never stop！			露營主題~四尾連湖~		なにぬねの◯◯◯◯◯◯◯◯◯◯◯				溫暖+1	先做那個好了。
6		期間限定イベント				3月登入獎勵		E	解鎖「貼紙製作・分享」				第一集⑥		メインストーリー第6章		BGM06	集章活動6				"★3『搖曳露營△②服裝』
撫子的限突套組"				キズナポイント1.5倍キャンペーン	"那個該不會……
是竹筍耶！？"	『夏季服裝（米色）』							【テスト用】カード経験値(TW)			横消去	野活組與單人露營女孩				治癒+1				抬頭			"進行{0}次以
{ta_mi_mn}為主的露營"		當打開一扇窗			露營主題~陣馬形山~		はひふへほ◯◯◯◯◯◯◯◯◯◯◯				治癒+1	那個，接下來要做的事……
7		0				搖曳通行證(30天)限定		F					第一集⑦		メインストーリー第7章		BGM07	集章活動7				落葉貼紙套組					"白天開始
變長了呢……"	『夏季服裝（卡其色）』							【テスト用】ホーム背景(TW)			縦横消去	兩處露營，不同景色				露營開始時的關係+1				回望			"獲得{0}件
{ta_mi_mn}的服裝"		在那對面			露營主題~朝霧高原~		まみむめも◯◯◯◯◯◯◯◯◯◯◯				露營開始時的關係+1	該選哪個呢。
8		マスタの辻褄合わせに使用する仮クエスト				搖曳通行證S(10天)限定		G					第一集⑧		メインストーリー第8章		BGM08	集章活動8				升級套裝					"要不要吃用春天蔬菜
做的料理啊？"	『夏季服裝（褐色）』							【テスト用】ホーム写真(TW)			X消去	お肉と紅葉と謎の湖				露營開始時滿足+1				豎起大拇指			"觀看{0}種
{ta_mi_mn}的角色故事"		世界逐漸遼闊					嗯──……				露營開始時滿足+1	該做什麼呢。
9		近日開催予定。開催までしばらくお待ちください				搖曳通行證M(10天)限定		H					第一集⑨		メインストーリー第9章		BGM09	集章活動9				"★3『搖曳露營△①服裝』
凜的限突套組"					"一起看著夕陽
悠閒一下吧──"	『夏季服裝（林地迷彩）』							【テスト用】欠番(TW)			範囲消去	湖畔の夜とキャンプの人々				露營開始時的舒適+1				艱鉅的姿勢			"強化{0}件
{ta_mi_mn}的服裝"		能前往任何地方					那個……				露營開始時的舒適+1	嗯──要做什麼呢……
10		近日開催予定				相約露營活動開始登入獎勵		I					第一集⑩		メインストーリー第10章		BGM10	集章活動10		搖曳幣		"日式饅頭與
落葉貼紙套組"					"晚上啊，還有一點涼……
鏘──！
我有帶暖暖包喔！"	『夏季服裝（多地形迷彩）』							【テスト用】習得アイテム(TW)			赤玉消去	テスト、カリブー、まんじゅううまい				露營開始時的溫暖+1				哦！			"提升{0}次
{ta_mi_mn}的服裝階級"		開啟一扇門					嗯──				露營開始時的溫暖+1	再來該做什麼呢。
11		チュートリアル用のデータ				6月登入獎勵		J					第一集⑪		メインストーリー第11章			集章活動11				撫子的提燈					"盯著篝火看啊
就開始睏了耶……"	『夏季服裝（白色）』							【テスト用】？？？(TW)			青玉消去	なでしこナビと湯けむりの夜				露營開始時的治癒+1				雙臂交叉			"突破{0}次
{ta_mi_mn}的服裝極限"		開始運作的世界					不，妳等一下……				露營開始時的治癒+1	該怎麼辦呢。
12		ー				0		K					第二集①		メインストーリー第12章			集章活動12				凜的速克達					"呀啊──
燈上面有好大隻的蟲！"	『夏季服裝（黑色）』							【テスト用】スペシャルカード(TW)			紫玉消去	旅下手さんとキャンプ会議								膽量姿勢			"獲得{0}張
{ta_mi_mn}的輔助卡"		我將踏上旅程					等一下啦……					該怎麼辦呢。
13		通常イベント（オールスター）				0		L					第二集②		○○			集章活動13				真實用品①					"一大早而已
就好熱喔……"	『EAST WOOD薄衣服』							【テスト用】抽選テスト1(TW)			緑玉消去	クリキャン！								V字形手勢(坐著)			"強化{0}張
{ta_mi_mn}的輔助卡"		Go my way！					怎麼辦呢……					嗯──再來該做什麼好呢。
14		チームイベント（テスト）				0		M			富士山與咖哩泡麵		第二集③		○○			集章活動14				雪地帳					我們去樹陰底下吧。	『麓露營地薄衣服』							【テスト用】抽選テスト2(TW)			ランダム消去	ふじさんとゆるキャンガール								捧杯(坐著)			"提升{0}次
{ta_mi_mn}的輔助卡階級"		啟程的第一步					我想想啊……					要怎麼辦呢──
15						0		N			歡迎來到野活組！		第二集④					集章活動15				真實用品②					西瓜冰涼了喔──	『伊豆營地薄外套』							【テスト用】5個報奨(TW)			スコア獲得	旅のおともとカレーめん								豎起大拇指(坐著)			"突破{0}次
{ta_mi_mn}的輔助卡極限"		雖然沒有捷徑					怎麼辦呢。					有沒有什麼好玩的事啊──
