id	type	member_id	motion	voice	text	text_id	cond_type	cond_type2	cond1	cond2	cond3	cond_start_time	cond_end_time	cond_start_date	cond_end_date	open_date	close_date
2000111		11	39	3004	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000112	1	11	42	3046	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000121		12	39	3038	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000122	1	12	42	3030	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000131		13	39	3048	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000132	1	13	42	3046	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000141		14	39	3021	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000142	1	14	42	3010	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000151		15	39	3030	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000152	1	15	42	3029	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000161		16	39	3019	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000162	1	16	42	3041	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000211		21	39	3047	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000212	1	21	42	3039	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000221		22	39	3015	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000222	1	22	42	3048	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000231		23	39	3021	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000232	1	23	42	3027	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000311		31	39	3048	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000312	1	31	42	3046	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000321		32	39	3019	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000322	1	32	42	3049	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000331		33	39	3049	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000332	1	33	42	3022	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000341		34	39	3046	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000342	1	34	42	3010	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000351		35	39	3011	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000352	1	35	42	3047	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000411		41	39	3020	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000412	1	41	42	3001	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000421		42	39	3049	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000422	1	42	42	3011	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000431		43	39	3048	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000432	1	43	42	3046	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000511		51	39	3049	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000512	1	51	42	3047	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000521		52	39	3003	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000522	1	52	42	3022	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000531		53	39	3011	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000532	1	53	42	3002	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000611		61	39	3045	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000612	1	61	42	3048	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000711		71	39	3030	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
2000712	1	71	42	3029	○○	40001								2016-01-01 00:00:00	2100-12-31 00:00:00	2016-01-01 00:00:00	2100-12-31 00:00:00
