id	label	label_text_id	priority	tab_num	tab_name	tab_name_text_id	resource_id	thumbnail_resource_id	is_default
50001	スタンプ「なでしこ」	250001	1	1	キャラ	200001	65110001	26110001	1
50002	スタンプ「リン」	250002	2	1	キャラ	200001	65110002	26110002	1
50003	スタンプ「千明」	250003	3	1	キャラ	200001	65110003	26110003	1
50004	スタンプ「あおい」	250004	4	1	キャラ	200001	65110004	26110004	1
50005	スタンプ「恵那」	250005	5	1	キャラ	200001	65110005	26110005	1
50006	スタンプ「謎のキャラ」	250006	6	1	キャラ	200001	65100007	26100007	
50007	スタンプ「コンニチワ」	250007	7	1	キャラ	200001	65100006	26100006	
50008	スタンプ「つかれた」	250008	8	1	キャラ	200001	65100008	26100008	
70101	スタンプ「旅キャンはじまり！RECAMPおだわら」	270101	1	2	イベント	200002	65100701	26000701	
70118	スタンプ「ブロンズ会員」	270118	1	3	クラブポイント	200003	65150018	26050018	
70119	スタンプ「シルバー会員★」	270119	1	3	クラブポイント	200003	65150019	26050019	
70120	スタンプ「シルバー会員★2」	270120	1	3	クラブポイント	200003	65150020	26050020	
70121	スタンプ「シルバー会員★3」	270121	1	3	クラブポイント	200003	65150021	26050021	
70122	スタンプ「シルバー会員★4」	270122	1	3	クラブポイント	200003	65150022	26050022	
70123	スタンプ「シルバー会員★5」	270123	1	3	クラブポイント	200003	65150023	26050023	
70124	スタンプ「ゴールド会員★」	270124	1	3	クラブポイント	200003	65150024	26050024	
70125	スタンプ「ゴールド会員★2」	270125	1	3	クラブポイント	200003	65150025	26050025	
70126	スタンプ「ゴールド会員★3」	270126	1	3	クラブポイント	200003	65150026	26050026	
70127	スタンプ「ゴールド会員★4」	270127	1	3	クラブポイント	200003	65150027	26050027	
70128	スタンプ「ゴールド会員★5」	270128	1	3	クラブポイント	200003	65150028	26050028	
70129	スタンプ「ブラック会員」	270129	1	3	クラブポイント	200003	65150029	26050029	
70201	スタンプ「夏だ！ビーチだ！海キャンだ！ 1位」	270201	2	2	イベント	200002	65170201	26070201	
70202	スタンプ「夏だ！ビーチだ！海キャンだ！ 2位」	270202	2	2	イベント	200002	65170202	26070202	
70203	スタンプ「夏だ！ビーチだ！海キャンだ！ 3位」	270203	2	2	イベント	200002	65170203	26070203	
70204	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP5」	270204	2	2	イベント	200002	65170204	26070204	
70205	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP10」	270205	2	2	イベント	200002	65170205	26070205	
70206	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP50」	270206	2	2	イベント	200002	65170206	26070206	
70207	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP100」	270207	2	2	イベント	200002	65170207	26070207	
70208	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP500」	270208	2	2	イベント	200002	65170208	26070208	
70209	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP1000」	270209	2	2	イベント	200002	65170209	26070209	
70210	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP5000」	270210	2	2	イベント	200002	65170210	26070210	
70211	スタンプ「夏だ！ビーチだ！海キャンだ！ TOP10000」	270211	2	2	イベント	200002	65170211	26070211	
