id	stage_type	stage_id	type	title	title_text_id	effect_label	effect_label_text_id	effect_value	open_date	close_date
2	1	101101	2	ステージキャンペーンテスト	1	アニメ連動	1	1.5	2020-09-05 12:00:00	2020-11-30 23:59:59
3	1	101101	3	ステージキャンペーンテスト	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
6	1	101102	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
7	1	101103	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
8	1	101104	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
9	1	101105	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
10	1	101106	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
11	1	101107	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
12	1	101108	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
13	1	101109	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
14	1	101110	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
15	1	101111	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
16	1	101112	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
17	1	101113	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
18	1	101114	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
19	1	101115	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
20	1	101116	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
21	1	101117	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
22	1	101118	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
23	1	101119	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
24	1	101120	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
25	1	102101	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
26	1	102102	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
27	1	102103	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
28	1	102104	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
29	1	102105	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
30	1	102106	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
31	1	102107	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
32	1	102108	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
33	1	102109	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
34	1	102110	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
35	1	102111	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
36	1	102112	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
37	1	102113	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
38	1	102114	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
39	1	102115	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
40	1	102116	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
41	1	102117	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
42	1	102118	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
43	1	102119	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
44	1	102120	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
45	1	103101	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
46	1	103102	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
47	1	103103	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
48	1	103104	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
49	1	103105	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
50	1	103106	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
51	1	103107	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
52	1	103108	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
53	1	103109	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
54	1	103110	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
55	1	103111	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
56	1	103112	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
57	1	103113	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
58	1	103114	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
59	1	103115	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
60	1	103116	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
61	1	103117	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
62	1	103118	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
63	1	103119	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
64	1	103120	3	メインストーリー応援キャンペーン	1	消費AP数0サービス	1		2020-09-05 12:00:00	2020-11-30 23:59:59
