id	key	text	text_en	text_tw	text_ko	priority	open_date	close_date	open_time	close_time
100	home_todayward_suffix_firstname	ゆるキャンパ				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
200	home_todayward_suffix_lastname	さん				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
300	Label_login_C_message1	お帰りなさい！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
400	Label_login_C_message2	今日は{0}で、{1}がプレゼントボックスに送られたみたいです				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
500	Label_login_C_message3	明日のログインでは、{0}がもらえるみたいですよ。待っているので、また来てくださいね				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
600	Label_login_S_message1	ただいま特別なログインボーナスを開催中です！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
700	Label_login_S_message2	ログインしてくれたあなたへ感謝の気持ちを込めて{1}をプレゼントさせていただきます				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
800	Label_login_S_message3	明日は{0}がもらえるので必ず来てくださいね				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
900	Label_login_S_message1	今日はバレンタインデーですね。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1000	Label_login_S_message2	私からのプレゼント受け取ってください！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1100	Label_login_S_message3	明日は{0}がもらえるので必ず来てくださいね				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1200	rd_update_confirm_dialog_text	"リソースデータの更新がありました。
リソースデータをダウンロードします。"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1300	challenge_monthly_close_dialog_text	近日公開予定！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1400	ygp_close_message	"Yahoo!ゲームプレーヤー版は
サービスを終了しました。
サービス終了に伴う有償ダイヤの
返金対応につきましては、下記ボタンより
必要事項を記入の上ご連絡ください。"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1500	appointment_default_member_message_1	"「そろそろ時間だね！
私、先行ってるね！」"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1600	appointment_default_member_message_2	「お兄ちゃん…まだぁ」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1700	appointment_default_member_message_3	"「先に待ち合わせ場所に
行ってるね！」"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1800	home_licence_expired_message	"お兄ちゃん！
会員/パック/パスの期限が切れたよ！
ショップをチェックしてみない？"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1900	push_chat_new_notification	なでしこ「あっ！返信が来てるよ」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2000	initial_comment	よろしくお願いします				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2100	aprilgame_howto	"森を駆け抜けて勉強魔王から五月さんたちを助けに行こう!

ハンバーグを取るとスピードアップ！
岩はスピードダウン、移動や羽ジャンプで回避！

タイマーが切れる前に次のゴールラインを目指そう！
――お兄ちゃんをコテンパンにしちゃうからね！！"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2200	PresenBox_message_01	カード所持枠上限を超えている状態で獲得したカード				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2300	team_report_team_result	"昨日の成績
・獲得EP %dpt(累計%dpt)
・現在の順位 %d位%s"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2400	team_report_personal_performance	パズル:%d回 獲得:%dep				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2500	push_team_boost_notification	らいは「チームブーストが発動したよ！」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2600	shop_sharing_present	%sさんからのおすそ分けです。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2700	shop_sharing_push	らいは「【%s】さんからおすそ分けをもらったよ！」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2800	common_message_nadeshiko	なにをしようかな？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2900	common_message_rin	なにをしようかな？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3000	common_message_chiaki	なにをしようかな？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3100	common_message_aoi	なにをしようかな？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3200	common_message_ena	なにをしようかな？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3300	guild_notification_member_join	「{0}さんがサークルに加入しました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3400	guild_notification_member_leave	「{0}さんがサークルを脱退しました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3500	guild_notification_week_mvp	「{0}さんが週間MVPを受賞しました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3600	guild_notification_none_week_mvp	「先週の週間MVP受賞者はいませんでした」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3700	guild_notification_month_mvp	「{0}さんが月間MVPを受賞しました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3800	guild_notification_none_month_mvp	「先月の月間MVP受賞者はいませんでした」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3900	guild_notification_change_leader	「{0}さんが{1}に任命されました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4000	guild_notification_change_sub_leader	「{0}さんが{1}に任命されました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4100	guild_notification_level_up	「サークルLv{0}になりました」				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
