level	exp	limit_sub_leader	limit_member	daily_reward_id	level_icon	icon_name_text_id
1		1	20	10011	1	2001
2	20	1	20	10011	1	2001
3	40	1	20	10011	1	2001
4	61	1	20	10011	1	2001
5	82	1	20	10011	1	2001
6	105	1	20	10011	1	2001
7	128	1	20	10011	1	2001
8	153	1	20	10011	1	2001
9	178	1	20	10011	1	2001
10	204	1	20	10011	1	2001
11	231	2	30	10012	2	2002
12	259	2	30	10012	2	2002
13	287	2	30	10012	2	2002
14	317	2	30	10012	2	2002
15	348	2	30	10012	2	2002
16	379	2	30	10012	2	2002
17	412	2	30	10012	2	2002
18	446	2	30	10012	2	2002
19	480	2	30	10012	2	2002
20	516	2	30	10012	2	2002
21	552	2	35	10013	3	2003
22	590	2	35	10013	3	2003
23	628	2	35	10013	3	2003
24	668	2	35	10013	3	2003
25	708	2	35	10013	3	2003
26	750	2	35	10013	3	2003
27	793	2	35	10013	3	2003
28	836	2	35	10013	3	2003
29	881	2	35	10013	3	2003
30	926	2	35	10013	3	2003
31	973	2	40	10014	4	2004
32	1021	2	40	10014	4	2004
33	1069	2	40	10014	4	2004
34	1119	2	40	10014	4	2004
35	1170	2	40	10014	4	2004
36	1222	2	40	10014	4	2004
37	1275	2	40	10014	4	2004
38	1329	2	40	10014	4	2004
39	1383	2	40	10014	4	2004
40	1440	2	40	10014	4	2004
41	1497	3	45	10015	5	2005
42	1555	3	45	10015	5	2005
43	1614	3	45	10015	5	2005
44	1674	3	45	10015	5	2005
45	1736	3	45	10015	5	2005
46	1798	3	45	10015	5	2005
47	1862	3	45	10015	5	2005
48	1926	3	45	10015	5	2005
49	1992	3	45	10015	5	2005
50	2058	3	45	10015	5	2005
51	2126	3	50	10016	6	2006
52	2195	3	50	10016	6	2006
53	2265	3	50	10016	6	2006
54	2336	3	50	10016	6	2006
55	2408	3	50	10016	6	2006
56	2482	3	50	10016	6	2006
57	2556	3	50	10016	6	2006
58	2631	3	50	10016	6	2006
59	2708	3	50	10016	6	2006
60	2786	3	50	10016	6	2006
61	2864	3	55	10017	7	2007
62	2944	3	55	10017	7	2007
63	3025	3	55	10017	7	2007
64	3107	3	55	10017	7	2007
65	3190	3	55	10017	7	2007
66	3275	3	55	10017	7	2007
67	3360	3	55	10017	7	2007
68	3446	3	55	10017	7	2007
69	3534	3	55	10017	7	2007
70	3623	3	55	10017	7	2007
71	3713	3	60	10018	8	2008
72	3804	3	60	10018	8	2008
73	3896	3	60	10018	8	2008
74	3989	3	60	10018	8	2008
75	4083	3	60	10018	8	2008
76	4179	3	60	10018	8	2008
77	4275	3	60	10018	8	2008
78	4373	3	60	10018	8	2008
79	4472	3	60	10018	8	2008
80	4572	3	60	10018	8	2008
