id	mst_camp_id	leader_member_costume_card_id	score	rank	relationship	satisfaction	comfortableness	warmth	healing	hotness	coldness	sporty	relaxing	playing	cooking	skills	blue_secret	red_secret	green_secret	white_secrets	costumes	gears	support_cards	reports
1	1	10001	500	2	50	50	50	50	50	6	2	5	1	1	1	{}	100011	200011	300011		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
2	1021	10005	500	2	50	50	50	50	50	6	2	5	1	1	1	{}	100021	200021	300021		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
3	1031	10004	500	2	50	50	50	50	50	6	2	5	1	1	1	{}	100031	200031	300031		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
4	1041	10003	500	2	50	50	50	50	50	6	2	5	1	1	1	{}	100041	200041	300041		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
5	1011	10002	500	2	50	50	50	50	50	6	2	5	1	1	1	{}	100051	200051	300051		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
6	1	10001	500	2	50	50	50	50	50	6	2	5	1	1	1	{}	100011	200061	300011		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
1010	1	10001	500	2	83	79	82	83	90	6	2	5	1	1	1	{}	100011	200011	300011		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
2010	1021	10005	500	2	82	90	83	83	79	6	2	5	1	1	1	{}	100021	200021	300021		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
3010	1031	10004	500	2	90	82	79	83	83	6	2	5	1	1	1	{}	100031	200031	300031		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
4010	1041	10003	500	2	79	83	82	90	83	6	2	5	1	1	1	{}	100041	200041	300041		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
5010	1011	10002	500	2	82	83	90	79	83	6	2	5	1	1	1	{}	100051	200051	300051		"[{""mst_card_id"":10001,""level"":1},{""mst_card_id"":10002,""level"":1},{""mst_card_id"":10003,""level"":1},{""mst_card_id"":10004,""level"":1},{""mst_card_id"":10005,""level"":1}]"	[]	[]	[]
