id	title	title_text_id	level	org_scene	scene	version
1000	Camp		1	camp	tutorialcamp01	1
1001	Yurustagram		1	yurustagramformation	tutorialyurustagram01	1
100100	Training01		1	member	functutorialmember	1
100102	Training03		1	member	functutorialmember	1
101000	PresentBox		1	none	none	1
101100	Profile		1	none	none	1
101200	Challenge		1	none	none	1
101300	EnhancementTop		1	none	none	1
101400	CostumeList		1	none	none	1
101500	CostumeEnhancement		1	none	none	1
101600	CostumeAwake		1	none	none	1
101700	CostumeRankup		1	none	none	1
101800	SupportCardList		1	none	none	1
101900	SupportCardEnhancement		1	none	none	1
102000	SupportCardAwake		1	none	none	1
102100	SupportCardRankup		1	none	none	1
102200	GearList		1	none	none	1
102300	GearAttachmentUp		1	none	none	1
102400	GearSell		1	none	none	1
102500	CookList		1	none	none	1
102600	CookAttachmentUp		1	none	none	1
102700	CookSell		1	none	none	1
102800	Album		1	none	none	1
102900	SeasonPass		1	none	none	1
103000	ItemList		1	none	none	1
103100	CostumeAlbum		1	none	none	1
103200	SupportCardAlbum		1	none	none	1
103300	GearAlbum		1	none	none	1
103400	CookAlbum		1	none	none	1
103500	Title		1	none	none	1
103600	Shop		1	none	none	1
103700	Mileage		1	none	none	1
103800	Friend		1	none	none	1
103900	AchievementRanking		1	none	none	1
104000	CraftGear		1	none	none	1
104100	CraftCook		1	none	none	1
104200	Maintenance		1	none	none	1
104300	Checkin		1	none	none	1
104400	Guild		1	none	none	1
104500	YuruNavi		1	none	none	1
104600	Home		1	none	none	1
104700	HomeEdit		1	none	none	1
104800	AR		1	none	none	1
104900	Photo		1	none	none	1
105000	Gacha		1	none	none	1
105100	Option		1	none	none	1
105200	Help		1	none	none	1
105300	AccountInherit		1	none	none	1
105400	Support		1	none	none	1
105500	Lottery		1	none	none	1
105600	Chat		1	none	none	1
105700	GuildCamp		1	none	none	1
999001	Test01		1	none	none	1
999002	Test02		1	none	none	1
999003	Test03		1	none	none	1
