id	event_group_id	character_id	cond_type1	cond_type2	cond_start_date	cond_end_date	cond_start_time	cond_end_time	weight	event_type	event_resource_id	reward_id	open_date	end_date
1	1	1			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
2	1	2			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
3	1	3			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
4	1	4			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
5	1	5			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
6	2	1			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
7	2	2			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
8	2	3			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
9	2	4			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
10	2	5			2000-01-01 00:00:00	2100-01-01 00:00:00		86399	20		0	40004001	2000-01-01 00:00:00	2100-12-31 23:59:59
