id	login_num	reward_id	special_flag
1	1	160000101	
1	2	160000102	
1	3	160000103	
1	4	160000104	
1	5	160000105	
1	6	160000106	
1	7	160000107	1
1	8	160000108	
1	9	160000109	
1	10	160000110	
1	11	160000111	
1	12	160000112	
1	13	160000113	
1	14	160000114	1
1	15	160000115	
1	16	160000116	
1	17	160000117	
1	18	160000118	
1	19	160000119	
1	20	160000120	
1	21	160000121	1
1	22	160000122	
1	23	160000123	
1	24	160000124	
1	25	160000125	
1	26	160000126	
1	27	160000127	
1	28	160000128	1
1	29	160000129	
1	30	160000130	
2	1	160000001	
2	2	160000002	
2	3	160000003	
2	4	160000004	
2	5	160000005	
2	6	160000006	
2	7	160000007	1
2	8	160000008	
2	9	160000009	
2	10	160000010	
2	11	160000011	
2	12	160000012	
2	13	160000013	
2	14	160000014	1
2	15	160000015	
2	16	160000016	
2	17	160000017	
2	18	160000018	
2	19	160000019	
2	20	160000020	
2	21	160000021	1
2	22	160000022	
2	23	160000023	
2	24	160000024	
2	25	160000025	
2	26	160000026	
2	27	160000027	
2	28	160000028	1
2	29	160000029	
2	30	160000030	
2	31	160000031	
3	1	1	
3	2	1	
3	3	1	
3	4	1	
3	5	1	
3	6	1	
3	7	1	1
3	8	1	
3	9	1	
3	10	1	
3	11	1	
3	12	1	
3	13	1	
3	14	1	1
3	15	1	
3	16	1	
3	17	1	
3	18	1	
3	19	1	
3	20	1	
3	21	1	1
3	22	1	
3	23	1	
3	24	1	
3	25	1	
3	26	1	
3	27	1	
3	28	1	1
4	1	1	
4	2	1	
4	3	1	
4	4	1	
4	5	1	
4	6	1	
4	7	1	1
4	8	1	
4	9	1	
4	10	1	
4	11	1	
4	12	1	
4	13	1	
4	14	1	1
4	15	1	
4	16	1	
4	17	1	
4	18	1	
4	19	1	
4	20	1	
4	21	1	1
4	22	1	
4	23	1	
4	24	1	
4	25	1	
4	26	1	
4	27	1	
4	28	1	1
4	29	1	
70100	1	1	
70100	2	1	
70100	3	1	
70100	4	1	
70100	5	1	
70100	6	1	
70100	7	1	
70100	8	1	
70100	9	1	
70100	10	1	
70100	11	1	
70100	12	1	
70100	13	1	
70100	14	1	
70100	15	1	
70100	16	1	
70100	17	1	
70100	18	1	
70100	19	1	
70100	20	1	
70100	21	1	
70100	22	1	
70100	23	1	
70100	24	1	
70100	25	1	
70100	26	1	
70100	27	1	
70100	28	1	
70100	29	1	
70100	30	1	
70100	31	1	
70200	1	1	
70200	2	1	
70200	3	1	
70200	4	1	
70200	5	1	
70200	6	1	
70200	7	1	
70200	8	1	
70200	9	1	
70200	10	1	
70200	11	1	
70200	12	1	
70200	13	1	
70200	14	1	
70200	15	1	
70200	16	1	
70200	17	1	
70200	18	1	
70200	19	1	
70200	20	1	
70200	21	1	
70200	22	1	
70200	23	1	
70200	24	1	
70200	25	1	
70200	26	1	
70200	27	1	
70200	28	1	
70200	29	1	
70200	30	1	
150010	1	50004001	
150010	2	50004002	
150010	3	50004003	
150010	4	50004004	
150010	5	50004005	
150010	6	50004006	
150010	7	50004007	
150010	8	50004008	
150010	9	50004009	
150010	10	50004010	
150010	11	50004011	
150010	12	50004012	
150010	13	50004013	
150010	14	50004014	
150010	15	50004015	
150010	16	50004016	
150010	17	50004017	
150010	18	50004018	
150010	19	50004019	
150010	20	50004020	
150010	21	50004021	
150010	22	50004022	
150010	23	50004023	
150010	24	50004024	
150010	25	50004025	
150010	26	50004026	
150010	27	50004027	
150010	28	50004028	
150010	29	50004029	
150010	30	50004030	
150011	1	50005001	
150011	2	50005002	
150011	3	50005003	
150011	4	50005004	
150011	5	50005005	
150011	6	50005006	
150011	7	50005007	
150011	8	50005008	
150011	9	50005009	
150011	10	50005010	
150012	1	50006001	
150012	2	50006002	
150012	3	50006003	
150012	4	50006004	
150012	5	50006005	
150012	6	50006006	
150012	7	50006007	
150012	8	50006008	
150012	9	50006009	
150012	10	50006010	
150013	1	50001101	
150013	2	50001102	
150013	3	50001103	
150013	4	50001104	
150013	5	50001105	
150013	6	50001106	
150013	7	50001107	
150013	8	50001108	
150013	9	50001109	
150013	10	50001110	
150013	11	50001111	
150013	12	50001112	
150013	13	50001113	
150013	14	50001114	
150013	15	50001115	
150013	16	50001116	
150013	17	50001117	
150013	18	50001118	
150013	19	50001119	
150013	20	50001120	
150013	21	50001121	
150013	22	50001122	
150013	23	50001123	
150013	24	50001124	
150013	25	50001125	
150013	26	50001126	
150013	27	50001127	
150013	28	50001128	
150013	29	50001129	
150013	30	50001130	
150014	1	50001201	
150014	2	50001202	
150014	3	50001203	
150014	4	50001204	
150014	5	50001205	
150014	6	50001206	
150014	7	50001207	
150014	8	50001208	
150014	9	50001209	
150014	10	50001210	
150015	1	50001301	
150015	2	50001302	
150015	3	50001303	
150015	4	50001304	
150015	5	50001305	
150015	6	50001306	
150015	7	50001307	
150015	8	50001308	
150015	9	50001309	
150015	10	50001310	
150016	1	50001601	
150016	2	50001602	
150016	3	50001603	
150016	4	50001604	
150016	5	50001605	
150016	6	50001606	
150016	7	50001607	
150016	8	50001608	
150016	9	50001609	
150016	10	50001610	
150017	1	50001701	
150017	2	50001702	
