id	camp_mission_id	turn	is_before_event	turn_event_id
101101001	101101	1		26000103
101101002	101101	1		26000203
101101003	101101	1		26000303
101101004	101101	1		26000403
101101005	101101	1		26000503
102101001	102101	1		26000103
102101002	102101	1		26000203
102101003	102101	1		26000303
102101004	102101	1		26000403
102101005	102101	1		26000503
103101001	103101	1		26000103
103101002	103101	1		26000203
103101003	103101	1		26000303
103101004	103101	1		26000403
103101005	103101	1		26000503
104101001	104101	1		26000103
104101002	104101	1		26000203
104101003	104101	1		26000303
104101004	104101	1		26000403
104101005	104101	1		26000503
