id	turn_event_id	camp_mission_id	start_trun	end_turn	case_support_card_id	case_costume_id	case_gear_id	case_meal_id	case_target_level	case_target_rank	case_mission_id	case_mission_rank	case_after_timeline_id	case_pre_turn_event_id	case_camp_id	case_camping_area_id	case_motivation	case_condition_id	case_season	case_weather	case_wind	case_temperature	case_location	case_keyword	case_invalid_turn_event_ids
3001	26000103	101101		1		10151										1									
3002	26000103	102101		1		10151										2									
3003	26000103	103101		1		10151										3									
3004	26000103	104101		1		10151										4									
6001	26000203	101101		1		10152										1									
6002	26000203	102101		1		10152										2									
6003	26000203	103101		1		10152										3									
6004	26000203	104101		1		10152										4									
9001	26000303	101101		1		10153										1									
9002	26000303	102101		1		10153										2									
9003	26000303	103101		1		10153										3									
9004	26000303	104101		1		10153										4									
12001	26000403	101101		1		10154										1									
12002	26000403	102101		1		10154										2									
12003	26000403	103101		1		10154										3									
12004	26000403	104101		1		10154										4									
15001	26000503	101101		1		10155										1									
15002	26000503	102101		1		10155										2									
15003	26000503	103101		1		10155										3									
15004	26000503	104101		1		10155										4									
17001	26000112	101101		1		10101										1									
17002	26000112	102101		1		10101										2									
17003	26000112	103101		1		10101										3									
17004	26000112	104101		1		10101										4									
18001	26000113	101101		1		10121										1									
18002	26000113	102101		1		10121										2									
18003	26000113	103101		1		10121										3									
18004	26000113	104101		1		10121										4									
18005	26000113	101101		1		10126										1									
18006	26000113	102101		1		10126										2									
18007	26000113	103101		1		10126										3									
18008	26000113	104101		1		10126										4									
18009	26000113	101101		1		10131										1									
18010	26000113	102101		1		10131										2									
18011	26000113	103101		1		10131										3									
18012	26000113	104101		1		10131										4									
18013	26000113	101101		1		10136										1									
18014	26000113	102101		1		10136										2									
18015	26000113	103101		1		10136										3									
18016	26000113	104101		1		10136										4									
18017	26000113	101101		1		10141										1									
18018	26000113	102101		1		10141										2									
18019	26000113	103101		1		10141										3									
18020	26000113	104101		1		10141										4									
18021	26000113	101101		1		10161										1									
18022	26000113	102101		1		10161										2									
18023	26000113	103101		1		10161										3									
18024	26000113	104101		1		10161										4									
18025	26000113	101101		1		10181										1									
18026	26000113	102101		1		10181										2									
18027	26000113	103101		1		10181										3									
18028	26000113	104101		1		10181										4									
20001	26000212	101101		1		10102										1									
20002	26000212	102101		1		10102										2									
20003	26000212	103101		1		10102										3									
20004	26000212	104101		1		10102										4									
21001	26000213	101101		1		10122										1									
21002	26000213	102101		1		10122										2									
21003	26000213	103101		1		10122										3									
21004	26000213	104101		1		10122										4									
21005	26000213	101101		1		10127										1									
21006	26000213	102101		1		10127										2									
21007	26000213	103101		1		10127										3									
21008	26000213	104101		1		10127										4									
21009	26000213	101101		1		10132										1									
21010	26000213	102101		1		10132										2									
21011	26000213	103101		1		10132										3									
21012	26000213	104101		1		10132										4									
21013	26000213	101101		1		10137										1									
21014	26000213	102101		1		10137										2									
21015	26000213	103101		1		10137										3									
21016	26000213	104101		1		10137										4									
21017	26000213	101101		1		10142										1									
21018	26000213	102101		1		10142										2									
21019	26000213	103101		1		10142										3									
21020	26000213	104101		1		10142										4									
21021	26000213	101101		1		10162										1									
21022	26000213	102101		1		10162										2									
21023	26000213	103101		1		10162										3									
21024	26000213	104101		1		10162										4									
21025	26000213	101101		1		10182										1									
21026	26000213	102101		1		10182										2									
21027	26000213	103101		1		10182										3									
21028	26000213	104101		1		10182										4									
24001	26000313	101101		1		10103										1									
24002	26000313	102101		1		10103										2									
24003	26000313	103101		1		10103										3									
24004	26000313	104101		1		10103										4									
24005	26000313	101101		1		10123										1									
24006	26000313	102101		1		10123										2									
24007	26000313	103101		1		10123										3									
24008	26000313	104101		1		10123										4									
24009	26000313	101101		1		10128										1									
24010	26000313	102101		1		10128										2									
24011	26000313	103101		1		10128										3									
24012	26000313	104101		1		10128										4									
24013	26000313	101101		1		10133										1									
24014	26000313	102101		1		10133										2									
24015	26000313	103101		1		10133										3									
24016	26000313	104101		1		10133										4									
24017	26000313	101101		1		10138										1									
24018	26000313	102101		1		10138										2									
24019	26000313	103101		1		10138										3									
24020	26000313	104101		1		10138										4									
24021	26000313	101101		1		10143										1									
24022	26000313	102101		1		10143										2									
24023	26000313	103101		1		10143										3									
24024	26000313	104101		1		10143										4									
24025	26000313	101101		1		10163										1									
24026	26000313	102101		1		10163										2									
24027	26000313	103101		1		10163										3									
24028	26000313	104101		1		10163										4									
27001	26000413	101101		1		10104										1									
27002	26000413	102101		1		10104										2									
27003	26000413	103101		1		10104										3									
27004	26000413	104101		1		10104										4									
27005	26000413	101101		1		10124										1									
27006	26000413	102101		1		10124										2									
27007	26000413	103101		1		10124										3									
27008	26000413	104101		1		10124										4									
27009	26000413	101101		1		10129										1									
27010	26000413	102101		1		10129										2									
27011	26000413	103101		1		10129										3									
27012	26000413	104101		1		10129										4									
27013	26000413	101101		1		10134										1									
27014	26000413	102101		1		10134										2									
27015	26000413	103101		1		10134										3									
27016	26000413	104101		1		10134										4									
27017	26000413	101101		1		10139										1									
27018	26000413	102101		1		10139										2									
27019	26000413	103101		1		10139										3									
27020	26000413	104101		1		10139										4									
27021	26000413	101101		1		10144										1									
27022	26000413	102101		1		10144										2									
27023	26000413	103101		1		10144										3									
27024	26000413	104101		1		10144										4									
27025	26000413	101101		1		10164										1									
27026	26000413	102101		1		10164										2									
27027	26000413	103101		1		10164										3									
27028	26000413	104101		1		10164										4									
30001	26000513	101101		1		10105										1									
30002	26000513	102101		1		10105										2									
30003	26000513	103101		1		10105										3									
30004	26000513	104101		1		10105										4									
30005	26000513	101101		1		10125										1									
30006	26000513	102101		1		10125										2									
30007	26000513	103101		1		10125										3									
30008	26000513	104101		1		10125										4									
30009	26000513	101101		1		10130										1									
30010	26000513	102101		1		10130										2									
30011	26000513	103101		1		10130										3									
30012	26000513	104101		1		10130										4									
30013	26000513	101101		1		10135										1									
30014	26000513	102101		1		10135										2									
30015	26000513	103101		1		10135										3									
30016	26000513	104101		1		10135										4									
30017	26000513	101101		1		10140										1									
30018	26000513	102101		1		10140										2									
30019	26000513	103101		1		10140										3									
30020	26000513	104101		1		10140										4									
30021	26000513	101101		1		10145										1									
30022	26000513	102101		1		10145										2									
30023	26000513	103101		1		10145										3									
30024	26000513	104101		1		10145										4									
30025	26000513	101101		1		10165										1									
30026	26000513	102101		1		10165										2									
30027	26000513	103101		1		10165										3									
30028	26000513	104101		1		10165										4									
31001	22100011			999																					
32001	22100021			999																					
33001	22100031			999																					
34001	22100041			999																					
35001	22100051			999																					
36001	22100061			999																					
37001	22100071			999																					
38001	22100081			999																					
39001	22100091			999																					
40001	22100101			999																					
41001	22100111			999																					
42001	22100121			999																					
43001	22100131			999																					
44001	22100141			999																					
45001	22100151			999																					
46001	22100161			999																					
47001	22100171			999																					
48001	22100181			999																					
49001	22100191			999																					
50001	22100201			999																					
51001	22100211			999																					
52001	22100221			999																					
53001	22100231			999																					
54001	22100241			999																					
55001	22100251			999																					
56001	22100261			999																					
57001	22100271			999																					
58001	22100281			999																					
59001	22100291			999																					
60001	22100301			999																					
61001	22100311			999																					
62001	22100321			999																					
63001	22100331			999																					
64001	22100341			999																					
65001	22100351			999																					
66001	22100361			999																					
67001	22100371			999																					
68001	22100381			999																					
69001	22100391			999																					
70001	22100401			999																					
71001	22100411			999																					
72001	22100421			999																					
73001	22100431			999																					
74001	22100441			999																					
75001	22100451			999																					
76001	22100461			999																					
77001	22100471			999																					
78001	22100481			999																					
79001	22100491			999																					
80001	22100501			999																					
81001	22100511			999																					
82001	22100521			999																					
83001	22100531			999																					
84001	22100541			999																					
85001	22100551			999																					
86001	22100561			999																					
87001	22100571			999																					
88001	22100581			999																					
89001	22100591			999																					
90001	22100601			999																					
91001	22100611			999																					
92001	22100621			999																					
93001	22100631			999																					
94001	22100641			999																					
95001	22100651			999																					
96001	22100661			999																					
97001	22100671			999																					
98001	22100681			999																					
99001	22100691			999																					
100001	22100701			999																					
101001	22100711			999																					
102001	22100721			999																					
103001	22100731			999																					
104001	22100741			999																					
105001	22100751			999																					
106001	22100761			999																					
107001	22100771			999																					
108001	22100781			999																					
109001	22100791			999																					
110001	22100801			999																					
111001	22100811			999																					
112001	22100821			999																					
113001	22100831			999																					
114001	22100841			999																					
115001	22100851			999																					
116001	22100861			999																					
117001	22100871			999																					
118001	22100881			999																					
119001	22100891			999																					
120001	22100901			999																					
121001	22100911			999																					
122001	22100921			999																					
123001	22100931			999																					
124001	22100941			999																					
125001	22100951			999																					
126001	22100961			999																					
127001	22100971			999																					
128001	22100981			999																					
129001	22100991			999																					
130001	22101001			999																					
131001	22101011			999																					
132001	22101021			999																					
133001	22101031			999																					
134001	22101041			999																					
135001	22101051			999																					
136001	22101061			999																					
137001	22101071			999																					
138001	22101081			999																					
139001	22101091			999																					
140001	22101101			999																					
141001	22101111			999																					
142001	22101121			999																					
143001	22101131			999																					
144001	22101141			999																					
145001	22101151			999																					
146001	22101161			999																					
147001	22101171			999																					
148001	22101181			999																					
149001	22101191			999																					
150001	22101201			999																					
151001	22101211			999																					
152001	22101221			999																					
153001	22101231			999																					
154001	22101241			999																					
155001	22101251			999																					
156001	22101261			999																					
157001	22101271			999																					
158001	22101281			999																					
159001	22101291			999																					
160001	22101301			999																					
161001	22101311			999																					
162001	22101321			999																					
163001	22101331			999																					
164001	22101341			999																					
165001	22101351			999																					
166001	22101361			999																					
167001	22101371			999																					
168001	22101381			999																					
169001	22101391			999																					
170001	22101401			999																					
171001	22101411			999																					
172001	22101421			999																					
173001	22101431			999																					
174001	22101441			999																					
175001	22101451			999																					
176001	22101461			999																					
177001	22101471			999																					
178001	22101481			999																					
179001	22101491			999																					
180001	22101501			999																					
181001	22101511			999																					
182001	22101521			999																					
183001	22101531			999																					
184001	22101541			999																					
185001	22101551			999																					
186001	22101561			999																					
187001	22101571			999																					
188001	22101581			999																					
189001	22101591			999																					
190001	22101601			999																					
191001	22101611			999																					
192001	22101621			999																					
193001	22101631			999																					
194001	22101641			999																					
195001	22101651			999																					
196000	22101811			999																					
197000	22101821			999																					
198001	25200011			999																					
199001	25200021			999																					
200001	25200031			999																					
201001	25200041			999																					
202001	25200051			999																					
203001	25200061			999																					
204001	25200071			999																					
205001	25200081			999																					
206001	25200091			999																					
207001	25200101			999																					
208001	25200111			999																					
209001	25200121			999																					
210001	25200131			999																					
211001	25200141			999																					
212001	25200151			999																					
213001	25200161			999																					
214001	25200171			999																					
215001	25200181			999																					
216001	25200191			999																					
217001	25200201			999																					
218001	25200211			999																					
219001	25200221			999																					
220001	25200231			999																					
221001	25200241			999																					
222001	25200251			999																					
223001	25200261			999																					
224001	25200271			999																					
225001	25200281			999																					
226001	25200291			999																					
227001	25200301			999																					
228001	25200311			999																					
229001	25200321			999																					
230001	25200331			999																					
231001	25200341			999																					
232001	25200351			999																					
233001	25200361			999																					
234001	25200371			999																					
235001	25200381			999																					
236001	25200391			999																					
237001	25200401			999																					
238001	25200411			999																					
239001	25200421			999																					
240001	25200431			999																					
241001	25200441			999																					
242001	25200451			999																					
243001	25200461			999																					
244001	25200471			999																					
245001	25200481			999																					
246001	25200491			999																					
247001	25200501			999																					
248001	25200511			999																					
249001	25200521			999																					
250001	25200531			999																					
251001	25200541			999																					
252001	25200551			999																					
253001	25200561			999																					
254001	25200571			999																					
255001	25200581			999																					
256001	25200591			999																					
257001	25200601			999																					
258001	25200611			999																					
259001	25200621			999																					
260001	25200631			999																					
261001	25200641			999																					
262001	25200651			999																					
263001	25200661			999																					
264001	25200671			999																					
265001	25200681			999																					
266001	25200691			999																					
267001	25200701			999																					
268001	25200711			999																					
269001	25200721			999																					
270001	25200731			999																					
271001	25200741			999																					
272001	25200751			999																					
273001	25200761			999																					
274001	25200771			999																					
275001	25200781			999																					
276001	25200791			999																					
277001	25200801			999																					
278001	25200811			999																					
279001	25200821			999																					
280001	25200831			999																					
281001	25200841			999																					
282001	25200851			999																					
283001	25200861			999																					
284001	25200871			999																					
285001	25200881			999																					
286001	25200891			999																					
287001	25200901			999																					
288001	25200911			999																					
289001	25200921			999																					
290001	25200931			999																					
291001	25200941			999																					
292001	25200951			999																					
293001	25200961			999																					
294001	25200971			999																					
295001	25200981			999																					
296001	25200991			999																					
297001	25201001			999																					
298001	25201011			999																					
299001	25201021			999																					
300001	25201031			999																					
301001	25201041			999																					
302001	25201051			999																					
303001	25201061			999																					
304001	25201071			999																					
305001	25201081			999																					
306001	25201091			999																					
307001	25201101			999																					
308001	25201111			999																					
309001	25201121			999																					
310001	25201131			999																					
311001	25201141			999																					
312001	25201151			999																					
313001	25201161			999																					
314001	25201171			999																					
315001	25201181			999																					
316001	25201191			999																					
317001	25201201			999																					
318001	23010021			999																					
319001	23010031			999																					
320001	23010041			999																					
321001	23010051			999																					
322001	23010061			999																					
323001	23010151			999																					
324001	23010201			999																					
325001	23010231			999																					
326001	23010251			999																					
327001	23010261			999																					
328001	23010311			999																					
329001	23010411			999																					
330001	23010421			999																					
331001	23010431			999																					
332001	23010451			999																					
333001	23020031			999																					
334001	23020041			999																					
335001	23020051			999																					
336001	23020081			999																					
337001	23020091			999																					
338001	23020131			999																					
339001	23020141			999																					
340001	23020151			999																					
341001	23020161			999																					
342001	23020171			999																					
343001	23020181			999																					
344001	23020191			999																					
345001	23030021			999																					
346001	23030031			999																					
347001	23030041			999																					
348001	23030111			999																					
