id	sort	costume_id	name	name_text_id
1000	1	1000	衣装テーマなし	260
1001	2	1001	サバキャン服	261
1002	3	1002	夏服(オレンジ)	262
1003	4	1003	夏服(ブルー)	263
1004	5	1004	夏服(ベージュ)	264
1005	6	1005	夏服(カーキ)	265
1006	7	1006	夏服(ブラウン)	266
1007	8	1007	夏服(ウッドランド)	267
1008	9	1008	夏服(マルチカム)	268
1009	10	1009	夏服(ホワイト)	269
1010	11	1010	夏服(ブラック)	270
1011	12	1011	イーストウッド薄着	271
1012	13	1012	麓キャンプ薄着	272
1013	14	1013	伊豆キャン薄着	273
1014	15	1014	冬服A(オレンジ)	274
1015	16	1015	冬服A(ブルー)	275
1016	17	1016	冬服A(ベージュ)	276
1017	18	1017	冬服A(カーキ)	277
1018	19	1018	クリキャン長袖	278
1019	20	1019	冬服B(ウッドランド)	279
1020	21	1020	冬服B(マルチカム)	280
1021	22	1021	冬服B(ホワイト)	281
1022	23	1022	冬服B(ブラック)	282
1023	24	1023	本栖湖キャンプ服	283
1024	25	1024	ゆるキャン△④服	284
1025	26	1025	ゆるキャン△③服	285
1026	27	1026	ゆるキャン△⑤服	286
1027	28	1027	本栖高校制服＆コート	287
1028	29	1028	本栖高校制服	288
1029	30	1029	本栖高校ジャージ	289
1030	31	1030	麓キャンプ服	290
1031	32	1031	伊豆キャン服	291
1032	33	1032	イーストウッド服	292
1033	34	1033	バイト普段着	293
1034	35	1034	麓キャンプ厚着	294
1035	36	1035	山中湖キャンプ服	295
1036	37	1036	四尾連湖キャンプ服	296
1037	38	1037	甲府キャンプ普段着	297
1038	39	1038	買い物普段着	298
1039	40	1039	はるキャン服	299
1040	41	1040	カリブーキャンプ服	300
1041	42	1041	クリキャン服	301
1042	43	1042	サンタクレンジャー	302
1043	44	1043	サバキャン水着	303
1044	45	1044	四尾連湖ブランケット	304
1045	46	1045	山中湖ブランケット	305
1046	47	1046	秘密結社ブランケット	306
1047	48	1047	ゆるキャン△②服	310
1048	49	1048	ゆるキャン△①服	311
2001	200	2001	お料理キャンプ(仮)	307
2002	201	2002	ハロウィン(仮)	308
2003	203	2003	小田原キャンプ服	309
2004	204	2004	6月森パーティー（仮）	312
2005	205	2005	海キャン水着	313
2006	206	2006	お祭り浴衣	314
2007	207	2007	民族チックなウェア	315
2013	208	2013	パジャマパーティー	316
