group_id	seq_id	card_lv	awake_rank	awakening_type	reward_id	growth_reward_text_id	publish_date	open_date	close_date
111	1	15		1	2110	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	2	20		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	3	25		1	2120	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	4	30		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	5	35		1	2130	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	6	40		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	1	15		1	2110	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	2	20		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	3	25		1	2120	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	4	30		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	5	35		1	2130	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	6	40		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	7	45		1	2140	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	8	50		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	1	15		1	2110	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	2	20		1	2110	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	3	25		1	2120	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	4	30		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	5	35		1	2130	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	6	40		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	7	45		1	2140	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	8	50		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	9	55		1	2150	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	10	60		1	2011	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	11		1	1	2110	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	12		2	1	2130	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	13		3	1	2150	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
131	14		4	1	2011	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
211	1	5		1	2021	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
211	2	10		1	2110	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
221	1	5		1	2021	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
221	2	10		1	2110	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
221	3	15		1	2021	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	1	5		1	2021	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	2	10		1	2120	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	3	15		1	2021	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	4	20		1	2021	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	11		1	1	2110	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	12		2	1	2130	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	13		3	1	2150	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
231	14		4	1	2021	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
