id	type	profile	shadow	stage_id	puzzle_id	background	bgm_text_id	popratio_id	limit_type	limit_count	use_full_count	gimmick_design
1	1			1	100100100	10100991	2001	6	1	60		
2	1			2	100100101	10100991	2001	6	1	60		
3	1			3	100100102	10100991	2001	6	1	60		
4	1			4	100100103	10100991	2001	6	1	60		
5	1			5	100100104	10100991	2001	6	1	60		
6	1			6	100100105	10100991	2001	6	1	60		
40001	1			40001	400100002	10111001	2001	6	1	20		
101101	2	1		101101	200100100	10111004	2001	6	1	13		
101102	1	1		101102	200100200	10111005	2001	6	1	10		
101103	1	1		101103	200100300	10111008	2001	6	1	15		
101104	2	1		101104	200100400	10139001	2001	6	1	20		
101105	1	1		101105	200100500	10111005	2001	6	1	20		
101106	2	1		101106	200100600	10111010	2001	6	1	30		
101107	1	1		101107	200100700	10111010	2001	6	1	25		
101108	2	1		101108	200102100	10111010	2001	6	1	20		
101109	1	1		101109	200100800	10120072	2001	6	1	22		
101110	2	1		101110	200102200	10120072	2001	6	1	30		
101111	1	1		101111	200100900	10110002	2001	6	1	15		
101112	2	1		101112	200102300	10110002	2001	6	1	20		
101113	1	1		101113	200101000	10110002	2001	6	1	20		
101114	2	1		101114	200102400	10110002	2001	6	1	20		
101115	1	1		101115	200101500	10111011	2001	6	2	50		
101116	2	1		101116	200102500	10111011	2001	6	2	60		
101117	1	1		101117	200101100	10110002	2001	6	1	20		
101118	2	1		101118	200102600	10110002	2001	6	1	20		
101119	1	1		101119	200101200	10110002	2001	6	1	20		
101120	2	1		101120	200102700	10110002	2001	6	1	20		
101121	2	1		101121	200102800	10110002	2001	6	1	20		
101122	2	1		101122	200101300	10110002	2001	6	1	20		
101123	2	1		101123	200102900	10110002	2001	6	1	20		
101124	2	1		101124	200103000	10110002	2001	6	1	20		
101125	2	1		101125	200101400	10111011	2001	6	1	20		
101126	2	1		101126	200103100	10111011	2001	6	1	20		
101127	1	1		101127	200103200	10111011	2001	6	1	20		
101128	2	1		101128	200101600	10111011	2001	6	1	20		
101129	1	1		101129	200103300	10111011	2001	6	1	20		
101130	2	1		101130	200103400	10111011	2001	6	1	20		
101131	2	1		101131	200101700	10111011	2001	6	1	20		
101132	2	1		101132	200103500	10111011	2001	6	1	20		
101133	2	1		101133	200103600	10111011	2001	6	1	20		
101134	2	1		101134	200101800	10110004	2001	6	1	20		
101135	2	1		101135	200103700	10110004	2001	6	1	20		
101136	2	1		101136	200103800	10110004	2001	6	1	20		
101137	1	1		101137	200101900	10110004	2001	6	1	20		
101138	2	1		101138	200103900	10110004	2001	6	1	20		
101139	1	1		101139	200104000	10110004	2001	6	1	20		
101140	2	1		101140	200102000	10111013	2001	6	1	20		
101201	2	1		101201	200100100	10111004	2001	6	1	13		
101202	1	1		101202	200100200	10111005	2001	6	1	10		
101203	1	1		101203	200100300	10111008	2001	6	1	15		
101204	2	1		101204	200100400	10139001	2001	6	1	20		
101205	1	1		101205	200100500	10111005	2001	6	1	20		
101206	2	1		101206	200100600	10111010	2001	6	1	30		
101207	1	1		101207	200100700	10111010	2001	6	1	25		
101208	2	1		101208	200102100	10111010	2001	6	1	20		
101209	1	1		101209	200100800	10120072	2001	6	1	22		
101210	2	1		101210	200102200	10120072	2001	6	1	30		
101211	1	1		101211	200100900	10110002	2001	6	1	15		
101212	2	1		101212	200102300	10110002	2001	6	1	20		
101213	1	1		101213	200101000	10110002	2001	6	1	20		
101214	2	1		101214	200102400	10110002	2001	6	1	20		
101215	1	1		101215	200101500	10111011	2001	6	2	50		
101216	2	1		101216	200102500	10111011	2001	6	2	60		
101217	1	1		101217	200101100	10110002	2001	6	1	20		
101218	2	1		101218	200102600	10110002	2001	6	1	20		
101219	1	1		101219	200101200	10110002	2001	6	1	20		
101220	2	1		101220	200102700	10110002	2001	6	1	20		
101221	2	1		101221	200102800	10110002	2001	6	1	20		
101222	2	1		101222	200101300	10110002	2001	6	1	20		
101223	2	1		101223	200102900	10110002	2001	6	1	20		
101224	2	1		101224	200103000	10110002	2001	6	1	20		
101225	2	1		101225	200101400	10111011	2001	6	1	20		
101226	2	1		101226	200103100	10111011	2001	6	1	20		
101227	1	1		101227	200103200	10111011	2001	6	1	20		
101228	2	1		101228	200101600	10111011	2001	6	1	20		
101229	1	1		101229	200103300	10111011	2001	6	1	20		
101230	2	1		101230	200103400	10111011	2001	6	1	20		
101231	2	1		101231	200101700	10111011	2001	6	1	20		
101232	2	1		101232	200103500	10111011	2001	6	1	20		
101233	2	1		101233	200103600	10111011	2001	6	1	20		
101234	2	1		101234	200101800	10110004	2001	6	1	20		
101235	2	1		101235	200103700	10110004	2001	6	1	20		
101236	2	1		101236	200103800	10110004	2001	6	1	20		
101237	1	1		101237	200101900	10110004	2001	6	1	20		
101238	2	1		101238	200103900	10110004	2001	6	1	20		
101239	1	1		101239	200104000	10110004	2001	6	1	20		
101240	2	1		101240	200102000	10111013	2001	6	1	20		
101301	2	1		101301	200100100	10111004	2001	6	1	13		
101302	1	1		101302	200100200	10111005	2001	6	1	10		
101303	1	1		101303	200100300	10111008	2001	6	1	15		
101304	2	1		101304	200100400	10139001	2001	6	1	20		
101305	1	1		101305	200100500	10111005	2001	6	1	20		
101306	2	1		101306	200100600	10111010	2001	6	1	30		
101307	1	1		101307	200100700	10111010	2001	6	1	25		
101308	2	1		101308	200102100	10111010	2001	6	1	20		
101309	1	1		101309	200100800	10120072	2001	6	1	22		
101310	2	1		101310	200102200	10120072	2001	6	1	30		
101311	1	1		101311	200100900	10110002	2001	6	1	15		
101312	2	1		101312	200102300	10110002	2001	6	1	20		
101313	1	1		101313	200101000	10110002	2001	6	1	20		
101314	2	1		101314	200102400	10110002	2001	6	1	20		
101315	1	1		101315	200101500	10111011	2001	6	2	50		
101316	2	1		101316	200102500	10111011	2001	6	2	60		
101317	1	1		101317	200101100	10110002	2001	6	1	20		
101318	2	1		101318	200102600	10110002	2001	6	1	20		
101319	1	1		101319	200101200	10110002	2001	6	1	20		
101320	2	1		101320	200102700	10110002	2001	6	1	20		
101321	2	1		101321	200102800	10110002	2001	6	1	20		
101322	2	1		101322	200101300	10110002	2001	6	1	20		
101323	2	1		101323	200102900	10110002	2001	6	1	20		
101324	2	1		101324	200103000	10110002	2001	6	1	20		
101325	2	1		101325	200101400	10111011	2001	6	1	20		
101326	2	1		101326	200103100	10111011	2001	6	1	20		
101327	1	1		101327	200103200	10111011	2001	6	1	20		
101328	2	1		101328	200101600	10111011	2001	6	1	20		
101329	1	1		101329	200103300	10111011	2001	6	1	20		
101330	2	1		101330	200103400	10111011	2001	6	1	20		
101331	2	1		101331	200101700	10111011	2001	6	1	20		
101332	2	1		101332	200103500	10111011	2001	6	1	20		
101333	2	1		101333	200103600	10111011	2001	6	1	20		
101334	2	1		101334	200101800	10110004	2001	6	1	20		
101335	2	1		101335	200103700	10110004	2001	6	1	20		
101336	2	1		101336	200103800	10110004	2001	6	1	20		
101337	1	1		101337	200101900	10110004	2001	6	1	20		
101338	2	1		101338	200103900	10110004	2001	6	1	20		
101339	1	1		101339	200104000	10110004	2001	6	1	20		
101340	2	1		101340	200102000	10111013	2001	6	1	20		
102101	2	3	1	102101	200200100	10111015	2002	6	1	20		
102102	1	3	1	102102	200202100	10111015	2002	6	1	20		
102103	1	3	1	102103	200200200	10111016	2002	6	1	20		
102104	2	3	1	102104	200202200	10111016	2002	6	1	20		
102105	1	3	1	102105	200200300	10110006	2002	6	1	20		
102106	2	3	1	102106	200202300	10110006	2002	6	1	30		
102107	1	3	1	102107	200200700	10111019	2002	6	1	20		
102108	2	3	1	102108	200202400	10111019	2002	6	2	60		
102109	1	3	1	102109	200200400	10110006	2002	6	1	15		
102110	2	3	1	102110	200202500	10110006	2002	6	1	20		
102111	1	3	1	102111	200200500	10110006	2002	6	1	20		
102112	2	3	1	102112	200202600	10110006	2002	6	1	30		
102113	1	3	1	102113	200201300	10111021	2002	6	1	15		
102114	2	3	1	102114	200202700	10111021	2002	6	1	30		
102115	1	3	1	102115	200200600	10110006	2002	6	1	20		
102116	2	3	1	102116	200202800	10110006	2002	6	1	20		
102117	1	3	1	102117	200200800	10111013	2002	6	1	20		
102118	2	3	1	102118	200202900	10111013	2002	6	1	20		
102119	1	3	1	102119	200200900	10111020	2002	6	1	20		
102120	2	3	1	102120	200203000	10111020	2002	6	1	30		
102121	2	3	1	102121	200201000	10111020	2002	6	1	20		
102122	1	3	1	102122	200203100	10111020	2002	6	1	20		
102123	1	3	1	102123	200201100	10111016	2002	6	1	20		
102124	2	3	1	102124	200203200	10111016	2002	6	1	20		
102125	1	3	1	102125	200201200	10111021	2002	6	1	20		
102126	2	3	1	102126	200203300	10111021	2002	6	1	20		
102127	1	3	1	102127	200201400	10120318	2002	6	1	20		
102128	2	3	1	102128	200203400	10120318	2002	6	1	20		
102129	1	3	1	102129	200201500	10120321	2002	6	1	20		
102130	2	3	1	102130	200203500	10120321	2002	6	1	20		
102131	1	3	1	102131	200201600	10120337	2002	6	1	20		
102132	2	3	1	102132	200203600	10120337	2002	6	1	20		
102133	1	3	1	102133	200201700	10120338	2002	6	1	20		
102134	2	3	1	102134	200203700	10120338	2002	6	1	20		
102135	1	3	1	102135	200201800	10111022	2002	6	1	20		
102136	2	3	1	102136	200203800	10111022	2002	6	1	20		
102137	1	3	1	102137	200201900	10111022	2002	6	1	20		
102138	2	3	1	102138	200203900	10111022	2002	6	1	20		
102139	1	3	1	102139	200204000	10111022	2002	6	1	20		
102140	2	3	1	102140	200202000	10110007	2002	6	1	20		
102201	2	3	1	102201	200200100	10111015	2002	6	1	20		
102202	1	3	1	102202	200202100	10111015	2002	6	1	20		
102203	1	3	1	102203	200200200	10111016	2002	6	1	20		
102204	2	3	1	102204	200202200	10111016	2002	6	1	20		
102205	1	3	1	102205	200200300	10110006	2002	6	1	20		
102206	2	3	1	102206	200202300	10110006	2002	6	1	30		
102207	1	3	1	102207	200200700	10111019	2002	6	1	20		
102208	2	3	1	102208	200202400	10111019	2002	6	2	60		
102209	1	3	1	102209	200200400	10110006	2002	6	1	15		
102210	2	3	1	102210	200202500	10110006	2002	6	1	20		
102211	1	3	1	102211	200200500	10110006	2002	6	1	20		
102212	2	3	1	102212	200202600	10110006	2002	6	1	30		
102213	1	3	1	102213	200201300	10111021	2002	6	1	15		
102214	2	3	1	102214	200202700	10111021	2002	6	1	30		
102215	1	3	1	102215	200200600	10110006	2002	6	1	20		
102216	2	3	1	102216	200202800	10110006	2002	6	1	20		
102217	1	3	1	102217	200200800	10111013	2002	6	1	20		
102218	2	3	1	102218	200202900	10111013	2002	6	1	20		
102219	1	3	1	102219	200200900	10111020	2002	6	1	20		
102220	2	3	1	102220	200203000	10111020	2002	6	1	30		
102221	2	3	1	102221	200201000	10111020	2002	6	1	20		
102222	1	3	1	102222	200203100	10111020	2002	6	1	20		
102223	1	3	1	102223	200201100	10111016	2002	6	1	20		
102224	2	3	1	102224	200203200	10111016	2002	6	1	20		
102225	1	3	1	102225	200201200	10111021	2002	6	1	20		
102226	2	3	1	102226	200203300	10111021	2002	6	1	20		
