id	team_battle_event_id	type	ep	loop_ep	reward_id
400101	901		1000		1
400102	901		2000		1
400103	901		4000		1
400104	901		8000		1
400105	901		15000		1
400106	901		26000		1
400107	901		43000		1
400108	901		66000		1
400109	901		97000		1
400110	901		140000		1
400111	901		190000		1
400112	901		260000		1
400113	901		340000		1
400114	901		430000		1
400115	901		540000		1
400116	901		670000		1
400117	901		820000		1
400118	901		990000		1
400119	901		1200000		1
400120	901		1500000		1
400121	901		1800000		1
400122	901		2100000		1
400123	901		2400000		1
400124	901		2800000		1
400125	901		3200000		1
400126	901		3600000		1
400127	901		4100000		1
400128	901		4600000		1
400129	901		5100000		1
400130	901		5700000		1
400131	901		6300000		1
400132	901		7000000		1
400133	901		7700000		1
400134	901		8500000		1
400135	901		9300000		1
400136	901		10200000		1
400137	901		11100000		1
400138	901		12100000		1
400139	901		13100000		1
400140	901		14200000		1
400141	901		15400000		1
400142	901		16600000		1
400143	901		17900000		1
400144	901		19300000		1
400145	901		20700000		1
400146	901		22200000		1
400147	901		23800000		1
400148	901		25500000		1
400149	901		27200000		1
400150	901		29000000		1
400151	901		30900000		1
400152	901		32900000		1
400153	901		35000000		1
400154	901		37200000		1
400155	901		39500000		1
400156	901		41800000		1
400157	901		44200000		1
400158	901		46700000		1
400159	901		49300000		1
400160	901		52000000		1
400161	901	1	55000000	3000000	1
