id	situation_id	type	sub_type	target_id	message	message_text_id	motion	voice_id
1021		2	1	1	--	1	19	4041
1022		2	2	1	--	1	19	4042
1023		2	3	1	--	1	14	4043
1024		2	4	1	--	1	45	4039
1025		2	5	1	--	1	2	4040
1111	1	1	1	1	--	1	14	4044
1112	1	1	2	1	--	1	30	4045
1113	1	1	3	1	--	1	15	4046
1131	1	3	1	1	--	1	1	4047
1132	1	3	2	1	--	1	19	4048
1133	1	3	3	1	--	1	1	4049
1134	1	3	4	1	--	1	14	4050
1135	1	3	5	1	--	1	15	4051
1141	1	4	1	1	--	1	14	4052
1142	1	4	2	1	--	1	62	4053
1143	1	4	3	1	--	1	28	4054
1211	2	1	1	1	--	1	14	4055
1212	2	1	2	1	--	1	30	4056
1213	2	1	3	1	--	1	33	4057
1231	2	3	1	1	--	1	29	4058
1232	2	3	2	1	--	1	14	4059
1233	2	3	3	1	--	1	60	4060
1234	2	3	4	1	--	1	19	4061
1235	2	3	5	1	--	1	17	4062
1241	2	4	1	1	--	1	35	4063
1242	2	4	2	1	--	1	34	4064
1243	2	4	3	1	--	1	17	4065
1311	3	1	1	1	--	1	14	4066
1312	3	1	2	1	--	1	30	4067
1313	3	1	3	1	--	1	29	4068
1331	3	3	1	1	--	1	18	4069
1332	3	3	2	1	--	1	34	4070
1333	3	3	3	1	--	1	19	4071
1334	3	3	4	1	--	1	69	4072
1335	3	3	5	1	--	1	66	4073
1341	3	4	1	1	--	1	63	4074
1342	3	4	2	1	--	1	34	4075
1343	3	4	3	1	--	1	2	4076
2021		2	1	2	--	1	19	4041
2022		2	2	2	--	1	19	4042
2023		2	3	2	--	1	31	4043
2024		2	4	2	--	1	45	4039
2025		2	5	2	--	1	2	4040
2111	1	1	1	2	--	1	14	4044
2112	1	1	2	2	--	1	32	4045
2113	1	1	3	2	--	1	31	4046
2131	1	3	1	2	--	1	1	4047
2132	1	3	2	2	--	1	19	4048
2133	1	3	3	2	--	1	1	4049
2134	1	3	4	2	--	1	14	4050
2135	1	3	5	2	--	1	15	4051
2141	1	4	1	2	--	1	66	4052
2142	1	4	2	2	--	1	60	4053
2143	1	4	3	2	--	1	63	4054
2211	2	1	1	2	--	1	14	4055
2212	2	1	2	2	--	1	20	4056
2213	2	1	3	2	--	1	31	4057
2231	2	3	1	2	--	1	1	4058
2232	2	3	2	2	--	1	1	4059
2233	2	3	3	2	--	1	1	4060
2234	2	3	4	2	--	1	1	4061
2235	2	3	5	2	--	1	1	4062
2241	2	4	1	2	--	1	66	4063
2242	2	4	2	2	--	1	2	4064
2243	2	4	3	2	--	1	15	4065
2311	3	1	1	2	--	1	14	4066
2312	3	1	2	2	--	1	20	4067
2313	3	1	3	2	--	1	31	4068
2331	3	3	1	2	--	1	2	4069
2332	3	3	2	2	--	1	30	4070
2333	3	3	3	2	--	1	19	4071
2334	3	3	4	2	--	1	60	4072
2335	3	3	5	2	--	1	66	4073
2341	3	4	1	2	--	1	57	4074
2342	3	4	2	2	--	1	29	4075
2343	3	4	3	2	--	1	28	4076
3021		2	1	3	--	1	19	4041
3022		2	2	3	--	1	19	4042
3023		2	3	3	--	1	31	4043
3024		2	4	3	--	1	45	4039
3025		2	5	3	--	1	2	4040
3111	1	1	1	3	--	1	14	4044
3112	1	1	2	3	--	1	31	4045
3113	1	1	3	3	--	1	20	4046
3131	1	3	1	3	--	1	60	4047
3132	1	3	2	3	--	1	60	4048
3133	1	3	3	3	--	1	60	4049
3134	1	3	4	3	--	1	66	4050
3135	1	3	5	3	--	1	15	4051
3141	1	4	1	3	--	1	66	4052
3142	1	4	2	3	--	1	2	4053
3143	1	4	3	3	--	1		4054
3211	2	1	1	3	--	1	19	4055
3212	2	1	2	3	--	1	19	4056
3213	2	1	3	3	--	1	16	4057
3231	2	3	1	3	--	1	66	4058
3232	2	3	2	3	--	1	1	4059
3233	2	3	3	3	--	1	19	4060
3234	2	3	4	3	--	1	18	4061
3235	2	3	5	3	--	1	3	4062
3241	2	4	1	3	--	1	14	4063
3242	2	4	2	3	--	1	14	4064
3243	2	4	3	3	--	1	14	4065
3311	3	1	1	3	--	1	19	4066
3312	3	1	2	3	--	1	19	4067
3313	3	1	3	3	--	1	31	4068
3331	3	3	1	3	--	1	16	4069
3332	3	3	2	3	--	1	1	4070
3333	3	3	3	3	--	1	20	4071
3334	3	3	4	3	--	1	1	4072
3335	3	3	5	3	--	1	41	4073
3341	3	4	1	3	--	1	5	4074
3342	3	4	2	3	--	1	16	4075
3343	3	4	3	3	--	1	41	4076
4021		2	1	4	--	1	19	4041
4022		2	2	4	--	1	19	4042
4023		2	3	4	--	1	16	4043
4024		2	4	4	--	1	45	4039
4025		2	5	4	--	1	15	4040
4111	1	1	1	4	--	1	14	4044
4112	1	1	2	4	--	1	14	4045
4113	1	1	3	4	--	1	57	4046
4131	1	3	1	4	--	1	19	4047
4132	1	3	2	4	--	1	14	4048
4133	1	3	3	4	--	1	1	4049
4134	1	3	4	4	--	1	16	4050
4135	1	3	5	4	--	1	41	4051
4141	1	4	1	4	--	1	67	4052
4142	1	4	2	4	--	1	28	4053
4143	1	4	3	4	--	1	16	4054
4211	2	1	1	4	--	1	15	4055
4212	2	1	2	4	--	1	14	4056
4213	2	1	3	4	--	1	66	4057
4231	2	3	1	4	--	1	19	4058
4232	2	3	2	4	--	1	14	4059
4233	2	3	3	4	--	1	1	4060
4234	2	3	4	4	--	1	16	4061
4235	2	3	5	4	--	1	41	4062
4241	2	4	1	4	--	1	1	4063
4242	2	4	2	4	--	1	16	4064
4243	2	4	3	4	--	1	65	4065
4311	3	1	1	4	--	1	16	4066
4312	3	1	2	4	--	1	29	4067
4313	3	1	3	4	--	1	31	4068
4331	3	3	1	4	--	1	18	4069
4332	3	3	2	4	--	1	15	4070
4333	3	3	3	4	--	1	16	4071
4334	3	3	4	4	--	1	19	4072
4335	3	3	5	4	--	1	28	4073
4341	3	4	1	4	--	1	5	4074
4342	3	4	2	4	--	1	15	4075
4343	3	4	3	4	--	1	17	4076
5021		2	1	5	--	1	19	4041
5022		2	2	5	--	1	19	4042
5023		2	3	5	--	1	16	4043
5024		2	4	5	--	1	45	4039
5025		2	5	5	--	1	15	4040
5111	1	1	1	5	--	1	14	4044
5112	1	1	2	5	--	1	14	4045
5113	1	1	3	5	--	1	57	4046
5131	1	3	1	5	--	1	14	4047
5132	1	3	2	5	--	1	19	4048
5133	1	3	3	5	--	1	1	4049
5134	1	3	4	5	--	1	16	4050
5135	1	3	5	5	--	1	41	4051
5141	1	4	1	5	--	1	66	4052
5142	1	4	2	5	--	1	28	4053
5143	1	4	3	5	--	1	6	4054
5211	2	1	1	5	--	1	15	4055
5212	2	1	2	5	--	1	14	4056
5213	2	1	3	5	--	1	66	4057
5231	2	3	1	5	--	1	19	4058
5232	2	3	2	5	--	1	14	4059
5233	2	3	3	5	--	1	1	4060
5234	2	3	4	5	--	1	16	4061
5235	2	3	5	5	--	1	41	4062
5241	2	4	1	5	--	1	1	4063
5242	2	4	2	5	--	1	16	4064
5243	2	4	3	5	--	1	65	4065
5311	3	1	1	5	--	1	16	4066
5312	3	1	2	5	--	1	29	4067
5313	3	1	3	5	--	1	31	4068
