feature_id	box_id	seq_id	reward_id	rankup	weight
701	1	1	204701101	1	50
701	1	2	204701102		200
701	1	3	204701103		200
701	1	4	204701104		200
701	1	5	204701105		200
701	1	6	204701106		200
701	1	7	204701107		200
701	1	8	204701108		200
701	1	9	204701109		200
701	1	10	204701110		200
701	1	11	204701111		200
701	1	12	204701112		200
701	1	13	204701113		200
701	1	14	204701114		200
701	1	15	204701115		200
701	1	16	204701116		200
701	1	17	204701117		200
701	1	18	204701118		200
701	1	19	204701119		200
701	1	20	204701120		200
701	1	21	204701121		200
701	1	22	204701122		200
701	1	23	204701123		200
701	1	24	204701124		200
701	1	25	204701125		200
701	1	26	204701126		200
701	1	27	204701127		200
701	1	28	204701128		200
701	1	29	204701129		200
701	1	30	204701130		200
701	2	1	204701101	1	50
701	2	2	204701102		200
701	2	3	204701103		200
701	2	4	204701104		200
701	2	5	204701105		200
701	2	6	204701106		200
701	2	7	204701107		200
701	2	8	204701108		200
701	2	9	204701109		200
701	2	10	204701110		200
701	2	11	204701111		200
701	2	12	204701112		200
701	2	13	204701113		200
701	2	14	204701114		200
701	2	15	204701115		200
701	2	16	204701116		200
701	2	17	204701117		200
701	2	18	204701118		200
701	2	19	204701119		200
701	2	20	204701120		200
701	2	21	204701121		200
701	2	22	204701122		200
701	2	23	204701123		200
701	2	24	204701124		200
701	2	25	204701125		200
701	2	26	204701126		200
701	2	27	204701127		200
701	2	28	204701128		200
701	2	29	204701129		200
701	2	30	204701130		200
701	3	1	204701101	1	50
701	3	2	204701102		200
701	3	3	204701103		200
701	3	4	204701104		200
701	3	5	204701105		200
701	3	6	204701106		200
701	3	7	204701107		200
701	3	8	204701108		200
701	3	9	204701109		200
701	3	10	204701110		200
701	3	11	204701111		200
701	3	12	204701112		200
701	3	13	204701113		200
701	3	14	204701114		200
701	3	15	204701115		200
701	3	16	204701116		200
701	3	17	204701117		200
701	3	18	204701118		200
701	3	19	204701119		200
701	3	20	204701120		200
701	3	21	204701121		200
701	3	22	204701122		200
701	3	23	204701123		200
701	3	24	204701124		200
701	3	25	204701125		200
701	3	26	204701126		200
701	3	27	204701127		200
701	3	28	204701128		200
701	3	29	204701129		200
701	3	30	204701130		200
701	4	1	204701401	1	50
701	4	2	204701402		200
701	4	3	204701403		200
701	4	4	204701404		200
701	4	5	204701405		200
701	4	6	204701406		200
701	4	7	204701407		200
701	4	8	204701408		200
701	4	9	204701409		200
701	4	10	204701410		200
701	4	11	204701411		200
701	4	12	204701412		200
701	4	13	204701413		200
701	4	14	204701414		200
701	4	15	204701415		200
701	4	16	204701416		200
701	4	17	204701417		200
701	4	18	204701418		200
701	4	19	204701419		200
701	4	20	204701420		200
701	4	21	204701421		200
701	4	22	204701422		200
701	4	23	204701423		200
701	4	24	204701424		200
701	4	25	204701425		200
701	4	26	204701426		200
701	4	27	204701427		200
701	4	28	204701428		200
701	4	29	204701429		200
701	4	30	204701430		200
702	1	1	204702101	1	50
702	1	2	204702102		200
702	1	3	204702103		200
702	1	4	204702104		200
702	1	5	204702105		200
702	1	6	204702106		200
702	1	7	204702107		200
702	1	8	204702108		200
702	1	9	204702109		200
702	1	10	204702110		200
702	1	11	204702111		200
702	1	12	204702112		200
