id	character_id	voice_id	message	message_text_id
1	1	1003	えーっと　今日の予定は…	1
2	1	4015	さて　どれからやろうかな？	2
3	1	5012	どうしよう	3
4	1	6004	なにしよう…	4
5	1	6005	まずは　あれかなぁ	5
6	2	4015	えっと　次にやること…	6
7	2	4089	どうしようかな	7
8	2	6004	何をしようかな…	8
9	2	6008	うーん　何しようかな…	9
10	2	6010	次　どうしよっかな	10
11	3	4089	どうするかな	11
12	3	5003	どうしたもんかなぁ	12
13	3	6004	うーん　次は何をするかだな	13
14	3	6501	どうすっかなー	14
15	3	6502	面白いことねーかなー	15
16	4	3031	どないしよか…	16
17	4	6004	さて　どないしよ	17
18	4	6005	やりたいことは　いろいろあるんよね	18
19	4	6006	んー　何しよかー	19
20	4	6502	迷ってまうなー	20
21	5	3031	どうしよう	21
22	5	4089	どうしようかな	22
23	5	5002	うーん　迷うね	23
24	5	6004	何をしようかなぁ	24
25	5	6503	どうしよっかな～	25
