craft_recipe_id	seq	material1	material2	material3	material4	material5	value
85010010	1	3010010					1
85010010	2	3010010					1
85010010	3	3010010					1
85010010	4	3010010					2
85010020	1	3010020					1
85010020	2	3010020					1
85010020	3	3010020					2
85010020	4	3010020					3
85010030	1	3010030					1
85010030	2	3010030					1
85010030	3	3010030					2
85010030	4	3010030					3
85010040	1	3010040					1
85010040	2	3010040					1
85010040	3	3010040					2
85010040	4	3010040					3
85010050	1	3010050					1
85010050	2	3010050					1
85010050	3	3010050					2
85010050	4	3010050					3
85010060	1	3010060					1
85010060	2	3010060					1
85010060	3	3010060					2
85010060	4	3010060					3
85010070	1	3010070					1
85010070	2	3010070					1
85010070	3	3010070					1
85010070	4	3010070					2
85010080	1	3010080					1
85010080	2	3010080					1
85010080	3	3010080					1
85010080	4	3010080					1
85010090	1	3010090					1
85010090	2	3010090					1
85010090	3	3010090					1
85010090	4	3010090					2
85010100	1	3010100					1
85010100	2	3010100					1
85010100	3	3010100					1
85010100	4	3010100					2
85010110	1	3010110					1
85010110	2	3010110					1
85010110	3	3010110					1
85010110	4	3010110					2
85010120	1	3010120					1
85010120	2	3010120					1
85010120	3	3010120					1
85010120	4	3010120					2
85010130	1	3010130					1
85010130	2	3010130					1
85010130	3	3010130					1
85010130	4	3010130					1
85010140	1	3010140					1
85010140	2	3010140					1
85010140	3	3010140					1
85010140	4	3010140					2
85010150	1	3010150					1
85010150	2	3010150					1
85010150	3	3010150					2
85010150	4	3010150					3
85010190	1	3010190					1
85010190	2	3010190					1
85010190	3	3010190					1
85010190	4	3010190					1
85010200	1	3010200					1
85010200	2	3010200					1
85010200	3	3010200					2
85010200	4	3010200					3
85010201	1	3010201					1
85010201	2	3010201					1
85010201	3	3010201					2
85010201	4	3010201					3
85010202	1	3010202					1
85010202	2	3010202					1
85010202	3	3010202					2
85010202	4	3010202					3
85010203	1	3010203					1
85010203	2	3010203					1
85010203	3	3010203					2
85010203	4	3010203					3
85010204	1	3010204					1
85010204	2	3010204					1
85010204	3	3010204					2
85010204	4	3010204					3
85010205	1	3010205					1
85010205	2	3010205					1
85010205	3	3010205					2
85010205	4	3010205					3
85010206	1	3010206					1
85010206	2	3010206					1
85010206	3	3010206					2
85010206	4	3010206					3
85010207	1	3010207					1
85010207	2	3010207					1
85010207	3	3010207					2
85010207	4	3010207					3
85010208	1	3010208					1
85010208	2	3010208					1
85010208	3	3010208					2
85010208	4	3010208					3
85010209	1	3010209					1
85010209	2	3010209					1
85010209	3	3010209					2
85010209	4	3010209					3
85010210	1	3010210					1
85010210	2	3010210					1
85010210	3	3010210					1
85010210	4	3010210					2
85010211	1	3010211					1
85010211	2	3010211					1
85010211	3	3010211					1
