id	seq_id	type	title_text_id	disable_period	interval	duration	banner_resource_id	reaction_scene_id	open_date	close_date
2001	1	1	1				68100000	900011	2023-04-01 04:00:00	2023-05-01 03:59:59
2002	2	1	1				38170007	900011	2023-05-01 04:00:00	2023-05-23 03:59:59
150010	150010	2	2	1			68100000	900011	2018-08-06 00:00:00	2100-12-31 00:00:00
150011	150011	2	3	1			68100000	900011	2021-08-01 11:00:00	2021-08-31 23:59:59
150012	150012	2	4	1			68100000	900011	2021-08-01 11:00:00	2021-08-31 23:59:59
150013	150013	2	7	1			38150001	900011	2020-01-01 00:00:00	2100-12-31 00:00:00
150014	150014	2	8	1			38150005	900021	2023-06-19 11:00:00	2023-06-28 23:59:59
150015	150015	2	9	1			38150006	900031	2023-06-29 11:00:00	2023-07-08 23:59:59
150016	150016	2	8	1			38150005	900021	2023-07-09 11:00:00	2023-07-18 23:59:59
150017	150017	2	9	1			38150006	900031	2023-07-19 11:00:00	2023-07-28 23:59:59
150018	150018	2	13	1			38150044	900021	2020-01-01 00:00:00	2100-12-31 00:00:00
150019	150019	2	13	1			38150044	900021	2020-01-01 00:00:00	2100-12-31 00:00:00
150021	150021	2	8	1			38150005	900021	2023-07-29 11:00:00	2023-08-07 23:59:59
150022	150022	2	9	1			38150006	900031	2023-08-08 11:00:00	2023-08-17 23:59:59
300001	300001	1	10	1			38170003	900011	2023-06-15 04:00:00	2100-12-31 23:59:59
300002	300002	1	12	1			38170001	900021	2023-05-24 04:00:00	2100-12-31 23:59:59
300003	300003	1	14				38170004	900021	2023-06-30 11:00:00	2023-08-22 23:59:59
300004	300004	1	15	1			38170042	900021	2023-06-29 11:00:00	2023-07-08 23:59:59
300007	300007	5	20				38170066	900011	2023-08-04 11:00:00	2023-09-10 23:59:59
600000	600000	1	6				68100000	900011	2023-03-01 04:00:00	2023-04-01 03:59:59
600003	600003	1	11				38170034	900011	2023-07-01 04:00:00	2023-08-01 03:59:59
600004	600004	1	16				38170007	900011	2023-08-01 04:00:00	2023-09-01 03:59:59
600005	600005	1	17				38170034	900011	2023-09-01 04:00:00	2023-10-01 03:59:59
