id	location_region_id	location_text_id
1	1	1001
2	2	1002
3	2	1003
4	2	1004
5	2	1005
6	2	1006
7	2	1007
8	3	1008
9	3	1009
10	3	1010
11	3	1011
12	3	1012
13	3	1013
14	3	1014
15	4	1015
16	4	1016
17	4	1017
18	4	1018
19	4	1019
20	4	1020
21	4	1021
22	4	1022
23	4	1023
24	5	1024
25	5	1025
26	5	1026
27	5	1027
28	5	1028
29	5	1029
30	5	1030
31	6	1031
32	6	1032
33	6	1033
34	6	1034
35	6	1035
36	7	1036
37	7	1037
38	7	1038
39	7	1039
40	8	1040
41	8	1041
42	8	1042
43	8	1043
44	8	1044
45	8	1045
46	8	1046
47	8	1047
