id	group_id	camp_skill_id	weight
21001	210	90101011	100
21002	210	90101021	100
21003	210	90101031	100
21004	210	90101041	100
21005	210	90101051	100
21006	210	90101061	100
21007	210	90101071	100
21008	210	90101081	100
21009	210	90101091	100
21010	210	90101101	100
21011	210	90101111	100
21012	210	90101121	100
21013	210	90101131	100
21014	210	90101141	100
21015	210	90101151	100
21016	210	90101161	100
21017	210	90101171	100
21018	210	90101181	100
21019	210	90101191	100
21020	210	90101201	100
21021	210	90101211	100
21022	210	90101221	100
21023	210	90101231	100
21024	210	90101241	100
21025	210	90101251	100
21026	210	90101261	100
21027	210	90101271	100
21028	210	90101281	100
21029	210	90101291	100
21030	210	90101301	100
21031	210	90101311	100
21032	210	90101321	100
21033	210	90101331	100
21034	210	90101341	100
21035	210	90101351	100
21036	210	90101361	100
21101	211	90102011	5
21102	211	90102021	5
21103	211	90102031	5
21104	211	90102041	5
21105	211	90102051	5
21106	211	90102061	5
21107	211	90102071	5
21108	211	90102081	5
21109	211	90102091	5
21110	211	90102101	5
21111	211	90102111	5
21112	211	90102121	5
21113	211	90102131	5
21114	211	90102141	5
21115	211	90102151	5
21116	211	90102161	5
21117	211	90102171	5
21118	211	90102181	5
21119	211	90102191	5
21120	211	90102201	5
21121	211	90102211	5
21122	211	90102221	5
21123	211	90102231	5
21124	211	90102241	5
21125	211	90102251	5
21126	211	90102261	5
21127	211	90102271	5
21128	211	90102281	5
21129	211	90102291	5
21130	211	90102301	5
21131	211	90102311	5
21132	211	90102321	5
21133	211	90102331	5
21134	211	90102341	5
21135	211	90102351	5
21136	211	90102361	5
21137	211	90101011	95
21138	211	90101021	95
21139	211	90101031	95
21140	211	90101041	95
21141	211	90101051	95
21142	211	90101061	95
21143	211	90101071	95
21144	211	90101081	95
21145	211	90101091	95
21146	211	90101101	95
21147	211	90101111	95
21148	211	90101121	95
21149	211	90101131	95
21150	211	90101141	95
21151	211	90101151	95
21152	211	90101161	95
21153	211	90101171	95
21154	211	90101181	95
21155	211	90101191	95
21156	211	90101201	95
21157	211	90101211	95
21158	211	90101221	95
21159	211	90101231	95
21160	211	90101241	95
21161	211	90101251	95
21162	211	90101261	95
21163	211	90101271	95
21164	211	90101281	95
21165	211	90101291	95
21166	211	90101301	95
21167	211	90101311	95
21168	211	90101321	95
21169	211	90101331	95
21170	211	90101341	95
21171	211	90101351	95
21172	211	90101361	95
21201	212	90102011	25
21202	212	90102021	25
21203	212	90102031	25
21204	212	90102041	25
21205	212	90102051	25
21206	212	90102061	25
21207	212	90102071	25
21208	212	90102081	25
21209	212	90102091	25
21210	212	90102101	25
21211	212	90102111	25
21212	212	90102121	25
21213	212	90102131	25
21214	212	90102141	25
21215	212	90102151	25
21216	212	90102161	25
21217	212	90102171	25
21218	212	90102181	25
21219	212	90102191	25
21220	212	90102201	25
21221	212	90102211	25
21222	212	90102221	25
21223	212	90102231	25
21224	212	90102241	25
21225	212	90102251	25
21226	212	90102261	25
21227	212	90102271	25
21228	212	90102281	25
21229	212	90102291	25
21230	212	90102301	25
21231	212	90102311	25
21232	212	90102321	25
21233	212	90102331	25
21234	212	90102341	25
21235	212	90102351	25
21236	212	90102361	25
21237	212	90101011	75
21238	212	90101021	75
21239	212	90101031	75
21240	212	90101041	75
21241	212	90101051	75
21242	212	90101061	75
21243	212	90101071	75
21244	212	90101081	75
21245	212	90101091	75
21246	212	90101101	75
21247	212	90101111	75
21248	212	90101121	75
21249	212	90101131	75
21250	212	90101141	75
21251	212	90101151	75
21252	212	90101161	75
21253	212	90101171	75
21254	212	90101181	75
21255	212	90101191	75
21256	212	90101201	75
21257	212	90101211	75
21258	212	90101221	75
21259	212	90101231	75
21260	212	90101241	75
21261	212	90101251	75
21262	212	90101261	75
21263	212	90101271	75
21264	212	90101281	75
21265	212	90101291	75
21266	212	90101301	75
21267	212	90101311	75
21268	212	90101321	75
21269	212	90101331	75
21270	212	90101341	75
21271	212	90101351	75
21272	212	90101361	75
21301	213	90102011	50
21302	213	90102021	50
21303	213	90102031	50
21304	213	90102041	50
21305	213	90102051	50
21306	213	90102061	50
21307	213	90102071	50
21308	213	90102081	50
21309	213	90102091	50
21310	213	90102101	50
21311	213	90102111	50
21312	213	90102121	50
21313	213	90102131	50
21314	213	90102141	50
21315	213	90102151	50
21316	213	90102161	50
21317	213	90102171	50
21318	213	90102181	50
21319	213	90102191	50
21320	213	90102201	50
21321	213	90102211	50
