id	card_id	num	open_date	close_date
1	10121	40	2021-01-01 00:00:00	2023-06-21 23:59:59
2	10122	40	2021-01-01 00:00:00	2023-06-21 23:59:59
3	10103	40	2021-01-01 00:00:00	2023-06-21 23:59:59
4	10104	40	2021-01-01 00:00:00	2023-06-21 23:59:59
5	10105	40	2021-01-01 00:00:00	2023-06-21 23:59:59
6	10151	40	2023-01-01 00:00:00	2023-09-30 23:59:59
7	10152	40	2023-01-01 00:00:00	2023-09-30 23:59:59
8	10153	40	2023-01-01 00:00:00	2023-09-30 23:59:59
9	10154	40	2023-01-01 00:00:00	2023-09-30 23:59:59
10	10155	40	2023-01-01 00:00:00	2023-09-30 23:59:59
11	10176	40	2023-06-20 11:00:00	2023-06-28 23:59:59
12	10178	40	2023-06-20 11:00:00	2023-06-28 23:59:59
13	10179	40	2023-06-20 11:00:00	2023-06-28 23:59:59
