id	match_type	camp_id	camp_mission_id	weight	open_date	close_date
1001	1	1011	101104	100	2020-05-01 00:00:08	2100-12-31 00:00:08
1002	1	1021	102103	100	2020-05-01 00:00:08	2100-12-31 00:00:08
1003	1	1031	103104	100	2020-05-01 00:00:08	2100-12-31 00:00:08
1004	1	1041	104104	100	2020-05-01 00:00:08	2100-12-31 00:00:08
2001	2	1011	101102	100	2020-05-01 00:00:08	2100-12-31 00:00:08
2002	2	1021	102101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
2003	2	1031	103102	100	2020-05-01 00:00:08	2100-12-31 00:00:08
2004	2	1041	104101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
2005	2	1041	104102	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3001	3	1000	100001	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3002	3	1011	101101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3003	3	1011	101103	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3004	3	1021	102102	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3005	3	1021	102104	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3006	3	1031	103101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3007	3	1031	103103	100	2020-05-01 00:00:08	2100-12-31 00:00:08
3008	3	1041	104103	100	2020-05-01 00:00:08	2100-12-31 00:00:08
4001	4	1011	101104	100	2020-05-01 00:00:08	2100-12-31 00:00:08
4002	4	1011	101102	100	2020-05-01 00:00:08	2100-12-31 00:00:08
4003	4	1000	100001	100	2020-05-01 00:00:08	2100-12-31 00:00:08
4004	4	1021	102103	100	2020-05-01 00:00:08	2100-12-31 00:00:08
4005	4	1021	102101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
4006	4	1011	101101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
5001	5	1051	105101	100	2020-05-01 00:00:08	2100-12-31 00:00:08
5002	5	1051	105102	100	2020-05-01 00:00:08	2100-12-31 00:00:08
5003	5	1051	105103	100	2020-05-01 00:00:08	2100-12-31 00:00:08
5004	5	1051	105104	100	2020-05-01 00:00:08	2100-12-31 00:00:08
