id	guild_camp_id	type	resource_id	message_text_id	target_id	value	point	guest_name_text_id	start_date	end_date
1	1	1	81060010	1	101001	100	101		2023-01-04 00:00:00	2023-01-04 11:59:59
2	1		81060010	1	87010010	1	52		2023-01-04 12:00:00	2023-01-04 17:59:59
3	1	2	81060010	1	85010010	1	153		2023-01-04 18:00:00	2023-01-04 23:59:59
4	2	1	81070010	1	101001	100	101		2023-01-14 00:00:00	2023-01-14 11:59:59
5	2		81070010	1	87010010	1	52		2023-01-14 12:00:00	2023-01-14 17:59:59
6	2	2	81070010	1	85010010	1	153		2023-01-14 18:00:00	2023-01-14 23:59:59
7	3	1	81060010	1	101001	100	101		2023-01-24 00:00:00	2023-01-24 11:59:59
8	3		81060010	1	87010010	1	52		2023-01-24 12:00:00	2023-01-24 17:59:59
9	3	2	81060010	1	85010010	1	153		2023-01-24 18:00:00	2023-01-24 23:59:59
10	4	1	81070010	1	101001	100	101		2023-02-03 00:00:00	2023-02-03 11:59:59
11	4		81070010	1	87010010	1	52		2023-02-03 12:00:00	2023-02-03 17:59:59
12	4	2	81070010	1	85010010	1	153		2023-02-03 18:00:00	2023-02-03 23:59:59
13	5	1	81060010	1	101001	100	101		2023-02-14 00:00:00	2023-02-14 11:59:59
14	5		81060010	1	87010010	1	52		2023-02-14 12:00:00	2023-02-14 17:59:59
15	5	2	81060010	1	85010010	1	153		2023-02-14 18:00:00	2023-02-14 23:59:59
16	6	1	81070010	1	101001	100	101		2023-02-24 00:00:00	2023-02-24 11:59:59
17	6		81070010	1	87010010	1	52		2023-02-24 12:00:00	2023-02-24 17:59:59
18	6	2	81070010	1	85010010	1	153		2023-02-24 18:00:00	2023-02-24 23:59:59
19	7	1	81060010	1	101001	100	101		2023-03-04 00:00:00	2023-03-04 11:59:59
20	7		81060010	1	87010010	1	52		2023-03-04 12:00:00	2023-03-04 17:59:59
21	7	2	81060010	1	85010010	1	153		2023-03-04 18:00:00	2023-03-04 23:59:59
22	8	1	81070010	1	101001	100	101		2023-03-13 00:00:00	2023-03-13 11:59:59
23	8		81070010	1	87010010	1	52		2023-03-13 12:00:00	2023-03-13 17:59:59
24	8	2	81070010	1	85010010	1	153		2023-03-13 18:00:00	2023-03-13 23:59:59
25	9	1	81080010	1	101001	100	101		2023-03-24 00:00:00	2023-03-24 11:59:59
26	9		81080010	1	87010010	1	52		2023-03-24 12:00:00	2023-03-24 17:59:59
27	9	2	81080010	1	85010010	1	153		2023-03-24 18:00:00	2023-03-24 23:59:59
