id	secret_group_id	rarity	name_text_id	desc_text_id	term_event_id	type	probability	effect_target_type1	effect_target_param1	effect_calc_type1	effect_value1	effect_target_type2	effect_target_param2	effect_calc_type2	effect_value2	effect_target_type3	effect_target_param3	effect_calc_type3	effect_value3
100011	10001	1	410001	100100011	28010101	1	100	1	1	1	10								
100012	10001	2	410001	100100012	28010101	1	100	1	1	1	30								
100013	10001	3	410001	100100013	28010101	1	100	1	1	1	50								
100021	10002	1	410002	100100021	28010101	1	100	1	2	1	10								
100022	10002	2	410002	100100022	28010101	1	100	1	2	1	30								
100023	10002	3	410002	100100023	28010101	1	100	1	2	1	50								
100031	10003	1	410003	100100031	28010101	1	100	1	3	1	10								
100032	10003	2	410003	100100032	28010101	1	100	1	3	1	30								
100033	10003	3	410003	100100033	28010101	1	100	1	3	1	50								
100041	10004	1	410004	100100041	28010101	1	100	1	4	1	10								
100042	10004	2	410004	100100042	28010101	1	100	1	4	1	30								
100043	10004	3	410004	100100043	28010101	1	100	1	4	1	50								
100051	10005	1	410005	100100051	28010101	1	100	1	5	1	10								
100052	10005	2	410005	100100052	28010101	1	100	1	5	1	30								
100053	10005	3	410005	100100053	28010101	1	100	1	5	1	50								
200011	20001	1	420001	100200011	28010101	2	10	2	1	1	1								
200012	20001	2	420001	100200012	28010101	2	20	2	1	1	1								
200013	20001	3	420001	100200013	28010101	2	30	2	1	1	1								
200021	20002	1	420002	100200021	28010101	2	10	2	2	1	1								
200022	20002	2	420002	100200022	28010101	2	20	2	2	1	1								
200023	20002	3	420002	100200023	28010101	2	30	2	2	1	1								
200031	20003	1	420003	100200031	28010101	2	10	2	3	1	1								
200032	20003	2	420003	100200032	28010101	2	20	2	3	1	1								
200033	20003	3	420003	100200033	28010101	2	30	2	3	1	1								
200041	20004	1	420004	100200041	28010101	2	10	2	4	1	1								
200042	20004	2	420004	100200042	28010101	2	20	2	4	1	1								
200043	20004	3	420004	100200043	28010101	2	30	2	4	1	1								
200051	20005	1	420005	100200051	28010101	2	10	2	5	1	1								
200052	20005	2	420005	100200052	28010101	2	20	2	5	1	1								
200053	20005	3	420005	100200053	28010101	2	30	2	5	1	1								
200061	20006	1	420006	100200061	28010101	2	10	2	6	1	1								
200062	20006	2	420006	100200062	28010101	2	20	2	6	1	1								
200063	20006	3	420006	100200063	28010101	2	30	2	6	1	1								
300011	30001	1	430001	100300000	28010101	3	30	3			10000011								
300021	30002	1	430002	100300000	28010101	3	30	3			10000021								
300031	30003	1	430003	100300000	28010101	3	30	3			10000031								
300041	30004	1	430004	100300000	28010101	3	30	3			10000041								
300051	30005	1	430005	100300000	28010101	3	30	3			10000051								
300061	30006	1	430006	100300000	28010101	3	30	3			62000111								
300062	30006	2	430006	100300000	28010101	3	30	3			62000112								
