member_id	count	reward_id	is_loop
11	1	1	1
11	2	1	1
11	3	1	1
11	4	1	1
11	5	1	1
11	6	1	1
11	7	1	1
11	8	1	1
11	9	1	1
11	10	1	1
11	11	1	1
11	12	1	1
11	13	1	1
11	14	1	1
11	15	1	1
11	16	1	1
11	17	1	1
11	18	1	1
11	19	1	1
11	20	1	1
11	21	1	1
11	22	1	1
11	23	1	1
11	24	1	1
12	1	1	1
12	2	1	1
12	3	1	1
12	4	1	1
12	5	1	1
12	6	1	1
12	7	1	1
12	8	1	1
12	9	1	1
12	10	1	1
12	11	1	1
12	12	1	1
12	13	1	1
12	14	1	1
12	15	1	1
12	16	1	1
12	17	1	1
12	18	1	1
12	19	1	1
12	20	1	1
12	21	1	1
12	22	1	1
12	23	1	1
12	24	1	1
13	1	1	1
13	2	1	1
13	3	1	1
13	4	1	1
13	5	1	1
13	6	1	1
13	7	1	1
13	8	1	1
13	9	1	1
13	10	1	1
13	11	1	1
13	12	1	1
13	13	1	1
13	14	1	1
13	15	1	1
13	16	1	1
13	17	1	1
13	18	1	1
13	19	1	1
13	20	1	1
13	21	1	1
13	22	1	1
13	23	1	1
13	24	1	1
14	1	1	1
14	2	1	1
14	3	1	1
14	4	1	1
14	5	1	1
14	6	1	1
14	7	1	1
14	8	1	1
14	9	1	1
14	10	1	1
14	11	1	1
14	12	1	1
14	13	1	1
14	14	1	1
14	15	1	1
14	16	1	1
14	17	1	1
14	18	1	1
14	19	1	1
14	20	1	1
14	21	1	1
14	22	1	1
14	23	1	1
14	24	1	1
35	1	1	1
35	2	1	1
35	3	1	1
35	4	1	1
35	5	1	1
35	6	1	1
35	7	1	1
35	8	1	1
35	9	1	1
35	10	1	1
35	11	1	1
35	12	1	1
35	13	1	1
35	14	1	1
35	15	1	1
35	16	1	1
35	17	1	1
35	18	1	1
35	19	1	1
35	20	1	1
35	21	1	1
35	22	1	1
35	23	1	1
35	24	1	1
