id	group_id	difficulty	name_text_id	description	detail	character_id	clothes_id	model_id	show_reward	bg_resource_id	bg_model_resource_id	icon_resource_id	bar_color_text_id	position_tmpl_id	picture_flg	quest_id	area_id	fail_back	ap_multiple_use	complete_reward_id	perfect_reward_id	unlock_chapter_ids	unlock_guide_mission_id	last_stage_id	start_x	start_y	end_x	end_y	sunday	monday	tuesday	wednesday	thursday	friday	saturday	publish_date	open_date	close_date
11	1	1	1	1	1	31	1	1		10110000	10110002	10110002	2	1	1	1			1	1	1	0		101120			250.0	160.0	1	1	1	1	1	1	1	2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:59
111	11	1	1	1	1	11	1	1		10110000	10110002	10110002	2	1	1	11			1	1	1	0						70.0	1	1	1	1	1	1	1	2020-05-01 00:00:00	2020-05-01 00:00:00	2020-05-01 00:00:00
121	12	1	1	1	1	12	1	1		10110000	10110002	10110002	2	1	1	12			1	1	1	0							1	1	1	1	1	1	1	2020-05-01 00:00:00	2020-05-01 00:00:00	2020-05-01 00:00:00
131	13	1	1	1	1	13	1	1		10110000	10110002	10110002	2	1	1	13			1	1	1	0							1	1	1	1	1	1	1	2020-05-01 00:00:00	2020-05-01 00:00:00	2020-05-01 00:00:00
1011	101	1	1	1	1	11	1	1		10110000	10110002	10110002	2	1	1	100	1001		1	10001011	20001011	0	50010	101140					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1012	101	2	1	1	1	11	1	1		10110000	10110002	10110002	2	1	1	100			1	10001012	20001012	1011		101240					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1013	101	3	1	1	1	11	1	1		10110000	10110002	10110002	2	1	1	100			1	10001013	20001013	1012		101340					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1021	102	1	1	1	1	12	1	1		10110000	10110002	10110002	2	1	1	100	1001		1	10001021	20001021	1011	51030	102140					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1022	102	2	1	1	1	12	1	1		10110000	10110002	10110002	2	1	1	100			1	10001022	20001022	1021		102240					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1023	102	3	1	1	1	12	1	1		10110000	10110002	10110002	2	1	1	100			1	10001023	20001023	1022		102340					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1031	103	1	1	1	1	13	1	1		10110000	10110002	10110002	2	1	1	100	1001		1	10001031	20001031	1021	51140	103140					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1032	103	2	1	1	1	13	1	1		10110000	10110002	10110002	2	1	1	100			1	10001032	20001032	1031		103240					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
1033	103	3	1	1	1	13	1	1		10110000	10110002	10110002	2	1	1	100			1	10001033	20001033	1032		103340					1	1	1	1	1	1	1	2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
