id	title	title_text_id	open_date	end_date
91	テスト1	4044	2023-06-23 11:00:00	2023-07-03 23:59:59
92	テスト2	4045	2023-06-23 11:00:00	2023-07-03 23:59:59
93	テスト3	4046	2023-06-23 11:00:00	2023-07-03 23:59:59
94	テスト4	4047	2023-06-23 11:00:00	2023-07-03 23:59:59
95	テスト5	4048	2023-06-23 11:00:00	2023-07-03 23:59:59
96	テスト6	4049	2023-06-23 11:00:00	2023-07-03 23:59:59
97	テスト7	4050	2023-06-23 11:00:00	2023-07-03 23:59:59
98	テスト8	4051	2023-06-23 11:00:00	2023-07-03 23:59:59
99	テスト9	4052	2023-06-23 11:00:00	2023-07-03 23:59:59
100	期間限定チャレンジ(全クリアなし)	4005	2021-08-10 11:00:00	2021-08-20 23:59:59
108	チームイベント（テスト）	4006	2020-05-01 00:00:00	2020-05-31 23:59:59
701	イベント1	4001	2021-09-10 11:00:00	2021-09-19 23:59:59
702	イベント2	4009	2021-09-22 11:00:00	2021-09-29 23:59:59
703	イベント3	4011	2021-10-03 11:00:00	2021-10-14 23:59:59
704	イベント	4015	2023-07-29 11:00:00	2023-08-09 21:59:59
705	イベント	4015	2023-08-11 11:00:00	2023-08-22 21:59:59
706	レポキャン	4018	2023-08-31 11:00:00	2023-09-04 10:59:59
707	イベント	4015	2023-09-02 11:00:00	2023-09-12 21:59:59
708	イベント8	4023	2021-12-15 11:00:00	2021-12-26 23:59:59
709	イベント9	4026	2022-01-03 11:00:00	2022-01-12 23:59:59
710	イベント10	4029	2022-01-17 11:00:00	2022-01-28 23:59:59
711	イベント11	4031	2022-02-02 11:00:00	2022-02-11 23:59:59
712	イベント12	4033	2024-02-15 11:00:00	2024-02-24 23:59:59
902	ひろえ！松ぼっくり	3104	2023-08-10 11:00:00	2023-08-25 23:59:59
30001	期間限定	4034	2023-06-15 00:00:00	2100-12-31 23:59:59
30002	毎日育成&コイン	4035	2023-08-04 11:00:00	2023-09-10 23:59:59
30004	キャンプ&売却	4037	2023-08-23 11:00:00	2023-09-06 23:59:59
30006	期間限定6	4039	2023-06-23 11:00:00	2023-07-03 23:59:59
30007	海辺キャンプ	4041	2023-08-17 11:00:00	2023-08-25 23:59:59
30008	千明誕生祭	4042	2023-08-25 11:00:00	2023-08-31 23:59:59
30009	恵那誕生祭	4043	2023-09-01 11:00:00	2023-09-07 23:59:59
30017	ゆるコインバックキャンペーン	4002	2100-10-30 11:00:00	2100-11-01 23:59:59
30025	ゆるコイン購入ミッション	4003	2020-10-11 11:00:00	2020-10-15 23:59:59
30027	期間限定チャレンジ	4004	2100-11-10 11:00:00	2100-11-30 10:59:59
30051	イベント1の準備	4007	2021-09-07 11:00:00	2021-09-10 10:59:59
30066	リリース記念チャレンジ	4008	2021-09-02 11:00:00	2021-09-03 03:59:59
30072	リリース記念チャレンジ	4008	2021-09-03 04:00:00	2021-09-04 03:59:59
30078	リリース記念チャレンジ	4008	2021-09-04 04:00:00	2021-09-05 03:59:59
30084	リリース記念チャレンジ	4008	2021-09-05 04:00:00	2021-09-06 03:59:59
30090	リリース記念チャレンジ	4008	2021-09-06 04:00:00	2021-09-07 10:59:59
30096	イベント2の準備	4010	2021-09-21 11:00:00	2021-09-22 10:59:59
30101	イベント3の準備	4012	2021-10-01 11:00:00	2021-10-03 10:59:59
30116	イベント4の準備	4014	2021-10-17 11:00:00	2021-10-20 10:59:59
30131	イベント5の準備	4016	2021-11-01 00:00:00	2021-11-03 10:59:59
30141	イベント6の準備	4017	2021-11-16 11:00:00	2021-11-18 10:59:59
30151	イベント7の準備	4020	2021-12-01 00:00:00	2021-12-03 10:59:59
30161	イベント8の準備	4022	2021-12-14 11:00:00	2021-12-15 10:59:59
30171	イベント9の準備	4025	2022-01-01 00:00:00	2022-01-03 10:59:59
30181	リリース100日記念チャレンジ	4021	2021-12-13 14:00:00	2021-12-31 23:59:59
30191	前夜祭チャレンジ	4027	2021-12-27 11:00:00	2021-12-28 03:59:59
30197	前夜祭チャレンジ	4027	2021-12-28 04:00:00	2021-12-29 03:59:59
30203	前夜祭チャレンジ	4027	2021-12-29 04:00:00	2021-12-30 03:59:59
30209	前夜祭チャレンジ	4027	2021-12-30 04:00:00	2021-12-31 03:59:59
30215	前夜祭チャレンジ	4027	2021-12-31 04:00:00	2021-12-31 23:59:59
30221	イベント10の準備	4028	2022-01-15 11:00:00	2022-01-17 10:59:59
30231	イベント11の準備	4030	2022-02-01 00:00:00	2022-02-02 10:59:59
30240	イベント12準備	4032	2024-02-13 11:00:00	2024-02-15 10:59:59
770432	カウントダウンチャレンジ	4013	2021-10-15 11:00:00	2021-10-17 23:59:59
770731	リリース100日記念チャレンジ	4021	2100-12-13 14:00:00	2100-12-31 23:59:59
770741	イベント9前夜祭チャレンジ	4024	2100-12-27 11:00:00	2100-12-28 03:59:59
770747	イベント9前夜祭チャレンジ	4024	2100-12-28 04:00:00	2100-12-29 03:59:59
770753	イベント9前夜祭チャレンジ	4024	2100-12-29 04:00:00	2100-12-30 03:59:59
770759	イベント9前夜祭チャレンジ	4024	2100-12-30 04:00:00	2100-12-31 03:59:59
770765	イベント9前夜祭チャレンジ	4024	2100-12-31 04:00:00	2100-12-31 23:59:59
