id	skill_group_id	mission_phase_type	is_repetable	case_leader_member	case_sub_member	case_join_member	case_member_num_greater_equal	case_member_num_less_equal	case_camp_action_type_member	case_camp_action_type	case_friendship_point_member	case_friendship_point_greater_equal	case_health_greater_equal	case_health_less_equal	case_motivation_greater_equal	case_motivation_less_equal	case_condition	case_camping_area	case_month	case_season	case_weather	case_wind	case_chance_of_rain_greater_equal	case_chance_of_rain_less_equal	case_temperature_greater_equal	case_temperature_less_equal	case_location	case_keyword1	case_keyword2	case_keyword3	case_costume_id	case_support_card_id	case_gear_id	case_mission_type_ids
1000001	1000001	1																																2
1000002	1000002	1																																1
1000003	1000003	1																																3
1000004	1000004	1																																3
1000005	1000005	1																																1
5100011	5100011	1																																2
5100021	5100021	2																																1
5100031	5100031	1																																1
5100041	5100041	3																																2
5100051	5100051	2																																3
5100061	5100061	2																																1
5100071	5100071	1																																3
5100081	5100081	3																																2
5100091	5100091	1																																3
5100101	5100101	3																																1
5100111	5100111	3																																3
5100121	5100121	3																																2
5100131	5100131	2																																3
5100141	5100141	2																																1
5100151	5100151	1																																2
5100161	5100161	2																																2
5100171	5100171	1																																3
5100181	5100181	1																																3
5100191	5100191	3																																1
5100201	5100201	2																																1
5100211	5100211	3																																3
5100221	5100221	2																																1
5100231	5100231	2																																2
5100241	5100241	1																																3
5100251	5100251	3																																2
5100261	5100261	1																																1
5100271	5100271	3																																2
5100281	5100281	3																																1
5100291	5100291	2																																2
5100301	5100301	1																																3
5100311	5100311	2																																2
5100321	5100321	2																																3
5100331	5100331	3																																2
5100341	5100341	3																																3
5100351	5100351	1																																1
5100361	5100361	1																																1
5100371	5100371	3																																2
5100381	5100381	1																																3
5100391	5100391	2																																1
5100401	5100401	2																																2
5100411	5100411	3																																3
5100421	5100421	1																																1
5100431	5100431	2																																1
5100441	5100441	1																																2
5100451	5100451	3																																3
5100461	5100461	1																																1
5100471	5100471	2																																3
5100481	5100481	3																																2
5100491	5100491	2																																1
5100501	5100501	1																																2
5100511	5100511	2																		3														2
5100512	5100512	2																4																1
5100521	5100521	3																		3														1
5100522	5100522	1																2																3
5100531	5100531	3																		3														2
5100532	5100532	3																4																2
5100541	5100541	2																		3														3
5100542	5100542	1																4																3
5100551	5100551	1																		3														3
5100552	5100552	3																									1							1
5100561	5100561	2																		3														2
5100562	5100562	3																1																3
5100571	5100571	3																		3														1
5100572	5100572	3																1																2
5100581	5100581	3																		3														2
5100582	5100582	2																1																3
5100591	5100591	2																		3														3
5100592	5100592	2																1																1
5100601	5100601	1																		3														3
5100602	5100602	1																1																2
5100611	5100611	2																		3														2
5100612	5100612	2																									3							2
5100621	5100621	3																		3														1
5100622	5100622	1																									3							3
5100631	5100631	3																		3														2
5100632	5100632	1																									3							3
5100641	5100641	2																		3														3
5100642	5100642	3																									3							1
5100651	5100651	1																		3														3
5100652	5100652	2																									3							1
5100661	5100661	2																		3														2
5100662	5100662	3																2																3
5100671	5100671	3																		3														1
5100672	5100672	2																2																1
5100681	5100681	3																		3														2
5100682	5100682	2																2																2
5100691	5100691	2																		3														3
5100692	5100692	1																2																3
5100701	5100701	1																		3														3
5100702	5100702	3																2																2
5100711	5100711	2																		3														2
5100712	5100712	3																									1							1
5100721	5100721	3																		3														1
5100722	5100722	1																									1							2
5100731	5100731	3																		3														2
5100732	5100732	3																									1							1
5100741	5100741	2																		3														3
5100742	5100742	2																									1							2
5100751	5100751	1																		3														3
5100752	5100752	1																									1							3
5100761	5100761	1																								4								1
5100762	5100762	1																									4							1
5100771	5100771	2																								4								3
5100772	5100772	3																									4							2
5100781	5100781	2																								4								1
5100782	5100782	1																									4							3
5100791	5100791	1																								4								2
5100792	5100792	2																									4							1
5100801	5100801	3																								4								2
5100802	5100802	2																									4							2
5100811	5100811	1																								4								1
5100812	5100812	3																									2							3
5100821	5100821	2																								4								3
5100822	5100822	1																									2							1
5100831	5100831	2																								4								1
5100832	5100832	2																									2							1
5100841	5100841	1																								4								2
5100842	5100842	1																									2							2
5100851	5100851	3																								4								2
5100852	5100852	3																									2							3
5100861	5100861	1																								4								1
5100862	5100862	1																									5							1
5100871	5100871	2																								4								3
5100872	5100872	2																									5							3
5100881	5100881	2																								4								1
5100882	5100882	3																									5							2
5100891	5100891	1																								4								2
5100892	5100892	2																									5							1
5100901	5100901	3																								4								2
5100902	5100902	1																									5							2
5100911	5100911	1																								4								1
5100912	5100912	1																3																2
5100921	5100921	2																								4								3
5100922	5100922	2																3																1
5100931	5100931	2																								4								1
5100932	5100932	1																3																1
5100941	5100941	1																								4								2
5100942	5100942	3																3																2
5100951	5100951	3																								4								2
5100952	5100952	2																3																3
5100961	5100961	1																								4								1
5100962	5100962	2																4																2
5100971	5100971	2																								4								3
5100972	5100972	2																4																3
5100981	5100981	2																								4								1
5100982	5100982	3																4																2
5100991	5100991	1																								4								2
5100992	5100992	1																4																3
5101001	5101001	3																								4								2
5101002	5101002	1																4																1
5101011	5101011	3																		3														2
5101012	5101012	1																1																3
5101021	5101021	1																		3														2
5101022	5101022	3																1																1
5101031	5101031	2																		3														1
5101032	5101032	1																									1							1
5101033	5101033	1																																3
5101041	5101041	3																		3														3
5101042	5101042	2																									1							3
5101043	5101043	1																																2
5101051	5101051	3																		3														2
5101052	5101052	3																									1							1
5101053	5101053	1																																1
5101061	5101061	3																								4								3
5101062	5101062	3																									3							3
5101063	5101063	1																																2
5101071	5101071	3																								4								3
5101072	5101072	1																									3							2
5101073	5101073	1																																2
5101081	5101081	2																								4								1
5101082	5101082	3																									3							1
5101083	5101083	1																																1
5101091	5101091	2																								4								2
5101092	5101092	2																									3							2
5101093	5101093	1																																1
5101101	5101101	1																								4								1
5101102	5101102	1																									3							3
5101103	5101103	1																																3
5101111	5101111	2																		3														1
5101112	5101112	2																									2							1
5101113	5101113	1																																1
5101121	5101121	3																		3														3
5101122	5101122	1																									2							3
5101123	5101123	1																																3
5101131	5101131	1																		3														2
5101132	5101132	2																									2							3
5101133	5101133	1																																1
5101141	5101141	1																		3														3
5101142	5101142	3																									2							2
5101143	5101143	1																																3
5101151	5101151	2																		3														2
5101152	5101152	3																									2							1
5101153	5101153	1																																2
5101161	5101161	2																		1														1
5101162	5101162	1																									1							2
5101163	5101163	1																																3
5101171	5101171	1																		1														2
5101172	5101172	3																									1							2
5101173	5101173	1																																2
5101181	5101181	1																		1														1
5101182	5101182	1																									1							1
5101183	5101183	1																																1
5101191	5101191	3																		1														3
5101192	5101192	3																									1							1
5101193	5101193	1																																3
5101201	5101201	2																		1														2
5101202	5101202	2																									1							3
5101203	5101203	1																																2
5101211	5101211	1																		3														3
5101212	5101212	3																2																3
5101213	5101213	1																																3
5101221	5101221	1																		3														2
5101222	5101222	1																2																1
5101223	5101223	1																																1
5101231	5101231	3																		3														1
5101232	5101232	2																									4							3
5101233	5101233	1																																3
5101241	5101241	3																		3														2
5101242	5101242	2																4																2
5101243	5101243	1																																2
5101251	5101251	2																		3														1
5101252	5101252	3																									2							2
5101253	5101253	1																																1
5101261	5101261	1																								4								3
5101262	5101262	3																4																1
5101263	5101263	1																																1
5101271	5101271	3																								4								2
5101272	5101272	2																2																2
5101273	5101273	1																																2
5101281	5101281	2																								4								2
5101282	5101282	1																4																2
5101283	5101283	1																																3
5101291	5101291	3																								4								3
5101292	5101292	1																									2							3
5101293	5101293	1																																2
5101301	5101301	1																								4								1
