id	category	name_text_id	description_text_id	location_landmark_ids	location_category_ids	location_region_ids	location_prefectures_ids	icon_resource_id	open_date	close_date
1	1	101	10101	0	0	1	1	46400000	2000-01-01 00:00:00	2100-12-31 23:59:59
2	1	102	10102	0	0	2	2	46400001	2000-01-01 00:00:00	2100-12-31 23:59:59
3	1	103	10103	0	0	2	3	46400002	2000-01-01 00:00:00	2100-12-31 23:59:59
4	1	104	10104	0	0	2	4	46400003	2000-01-01 00:00:00	2100-12-31 23:59:59
5	1	105	10105	0	0	2	5	46400004	2000-01-01 00:00:00	2100-12-31 23:59:59
6	1	106	10106	0	0	2	6	46400005	2000-01-01 00:00:00	2100-12-31 23:59:59
7	1	107	10107	0	0	2	7	46400006	2000-01-01 00:00:00	2100-12-31 23:59:59
8	1	108	10108	0	0	3	8	46400007	2000-01-01 00:00:00	2100-12-31 23:59:59
9	1	109	10109	0	0	3	9	46400008	2000-01-01 00:00:00	2100-12-31 23:59:59
10	1	110	10110	0	0	3	10	46400009	2000-01-01 00:00:00	2100-12-31 23:59:59
11	1	111	10111	0	0	3	11	46400010	2000-01-01 00:00:00	2100-12-31 23:59:59
12	1	112	10112	0	0	3	12	46400011	2000-01-01 00:00:00	2100-12-31 23:59:59
13	1	113	10113	0	0	3	13	46400012	2000-01-01 00:00:00	2100-12-31 23:59:59
14	1	114	10114	0	0	3	14	46400013	2000-01-01 00:00:00	2100-12-31 23:59:59
15	1	115	10115	0	0	4	15	46400014	2000-01-01 00:00:00	2100-12-31 23:59:59
16	1	116	10116	0	0	4	16	46400015	2000-01-01 00:00:00	2100-12-31 23:59:59
17	1	117	10117	0	0	4	17	46400016	2000-01-01 00:00:00	2100-12-31 23:59:59
18	1	118	10118	0	0	4	18	46400017	2000-01-01 00:00:00	2100-12-31 23:59:59
19	1	119	10119	0	0	4	19	46400018	2000-01-01 00:00:00	2100-12-31 23:59:59
20	1	120	10120	0	0	4	20	46400019	2000-01-01 00:00:00	2100-12-31 23:59:59
21	1	121	10121	0	0	4	21	46400020	2000-01-01 00:00:00	2100-12-31 23:59:59
22	1	122	10122	0	0	4	22	46400021	2000-01-01 00:00:00	2100-12-31 23:59:59
23	1	123	10123	0	0	4	23	46400022	2000-01-01 00:00:00	2100-12-31 23:59:59
24	1	124	10124	0	0	5	24	46400023	2000-01-01 00:00:00	2100-12-31 23:59:59
25	1	125	10125	0	0	5	25	46400024	2000-01-01 00:00:00	2100-12-31 23:59:59
26	1	126	10126	0	0	5	26	46400025	2000-01-01 00:00:00	2100-12-31 23:59:59
27	1	127	10127	0	0	5	27	46400026	2000-01-01 00:00:00	2100-12-31 23:59:59
28	1	128	10128	0	0	5	28	46400027	2000-01-01 00:00:00	2100-12-31 23:59:59
29	1	129	10129	0	0	5	29	46400028	2000-01-01 00:00:00	2100-12-31 23:59:59
30	1	130	10130	0	0	5	30	46400029	2000-01-01 00:00:00	2100-12-31 23:59:59
31	1	131	10131	0	0	6	31	46400030	2000-01-01 00:00:00	2100-12-31 23:59:59
32	1	132	10132	0	0	6	32	46400031	2000-01-01 00:00:00	2100-12-31 23:59:59
33	1	133	10133	0	0	6	33	46400032	2000-01-01 00:00:00	2100-12-31 23:59:59
34	1	134	10134	0	0	6	34	46400033	2000-01-01 00:00:00	2100-12-31 23:59:59
35	1	135	10135	0	0	6	35	46400034	2000-01-01 00:00:00	2100-12-31 23:59:59
36	1	136	10136	0	0	7	36	46400035	2000-01-01 00:00:00	2100-12-31 23:59:59
37	1	137	10137	0	0	7	37	46400036	2000-01-01 00:00:00	2100-12-31 23:59:59
38	1	138	10138	0	0	7	38	46400037	2000-01-01 00:00:00	2100-12-31 23:59:59
39	1	139	10139	0	0	7	39	46400038	2000-01-01 00:00:00	2100-12-31 23:59:59
40	1	140	10140	0	0	8	40	46400039	2000-01-01 00:00:00	2100-12-31 23:59:59
41	1	141	10141	0	0	8	41	46400040	2000-01-01 00:00:00	2100-12-31 23:59:59
42	1	142	10142	0	0	8	42	46400041	2000-01-01 00:00:00	2100-12-31 23:59:59
43	1	143	10143	0	0	8	43	46400042	2000-01-01 00:00:00	2100-12-31 23:59:59
44	1	144	10144	0	0	8	44	46400043	2000-01-01 00:00:00	2100-12-31 23:59:59
45	1	145	10145	0	0	8	45	46400044	2000-01-01 00:00:00	2100-12-31 23:59:59
46	1	146	10146	0	0	8	46	46400045	2000-01-01 00:00:00	2100-12-31 23:59:59
47	1	147	10147	0	0	8	47	46400046	2000-01-01 00:00:00	2100-12-31 23:59:59
101	1	1001	11001	0	0	1	0	46400100	2000-01-01 00:00:00	2100-12-31 23:59:59
102	1	1002	11002	0	0	2	0	46400101	2000-01-01 00:00:00	2100-12-31 23:59:59
103	1	1003	11003	0	0	3	0	46400102	2000-01-01 00:00:00	2100-12-31 23:59:59
104	1	1004	11004	0	0	4	0	46400103	2000-01-01 00:00:00	2100-12-31 23:59:59
105	1	1005	11005	0	0	5	0	46400104	2000-01-01 00:00:00	2100-12-31 23:59:59
106	1	1006	11006	0	0	6	0	46400105	2000-01-01 00:00:00	2100-12-31 23:59:59
107	1	1007	11007	0	0	7	0	46400106	2000-01-01 00:00:00	2100-12-31 23:59:59
108	1	1008	11008	0	0	8	0	46400107	2000-01-01 00:00:00	2100-12-31 23:59:59
