id	type	func_tutorial_id
1		100100
2		100102
3		
4		
5	1	
6	1	
101	1	
102	1	
103	1	
104	1	
105	1	
40011		
40012		
40013		
40014		
40015		
40021		
40022		
40023		
40024		
40025		
40031		
40032		
40033		
40034		
40035		
40041		
40042		
40043		
40044		
40045		
40051		
40052		
40053		
40054		
40055		
40061		
40062		
40063		
40064		
40065		
40071		
40072		
40073		
40074		
40075		
40081		
40082		
40083		
40084		
40085		
40091		
40092		
40093		
40094		
40095		
40101		
40102		
40103		
40104		
40105		
40111		
40112		
40113		
40114		
40115		
40121		
40122		
40123		
40124		
40125		
40131		
40132		
40133		
40134		
40135		
40141		
40142		
40143		
40144		
40145		
40151		
40152		
40153		
40154		
40155		
40161		
40162		
40163		
40164		
40165		
40171		
40172		
40173		
40174		
40175		
40181		
40182		
40183		
40184		
40185		
40191		
40192		
40193		
40194		
40195		
40201		
40202		
40203		
40204		
40205		
40211		
40212		
40213		
40214		
40215		
40221		
40222		
40223		
40224		
40225		
40231		
40232		
40233		
40234		
40235		
40241		
40242		
40243		
40244		
40245		
40251		
40252		
40253		
40254		
40255		
40261		
40262		
40263		
40264		
40265		
40271		
40272		
40273		
40274		
40275		
40281		
40282		
40283		
40284		
40285		
40291		
40292		
40293		
40294		
40295		
40301		
40302		
40303		
40304		
40305		
40311		
40312		
40313		
40314		
40315		
40321		
40322		
40323		
40324		
40325		
40331		
40332		
40333		
40334		
40335		
40341		
40342		
40343		
40344		
40345		
40351		
40352		
40353		
40354		
40355		
40361		
40362		
40363		
40364		
40365		
40371		
40372		
40373		
40374		
40375		
40381		
40382		
40383		
40384		
40385		
40391		
40392		
40393		
40394		
40395		
40401		
40402		
40403		
40404		
40405		
40411		
40412		
40413		
40414		
40415		
40421		
40422		
40423		
40424		
40425		
40431		
40432		
40433		
40434		
40435		
40441		
40442		
40443		
40444		
40445		
40451		
40452		
40453		
40454		
40455		
40461		
40462		
40463		
40464		
40465		
40471		
40472		
40473		
40474		
40475		
40481		
40482		
40483		
40484		
40485		
40491		
40492		
40493		
40494		
40495		
40501		
40502		
40503		
40504		
40505		
40511		
40512		
40513		
40514		
40515		
40521		
40522		
40523		
40524		
40525		
40531		
40532		
40533		
40534		
40535		
40541		
40542		
40543		
40544		
40545		
40551		
40552		
40553		
40554		
40555		
40561		
40562		
40563		
40564		
40565		
40571		
40572		
40573		
40574		
40575		
40581		
40582		
40583		
40584		
40585		
40591		
40592		
40593		
40594		
40595		
40601		
40602		
40603		
40604		
40605		
40611		
40612		
40613		
40614		
40615		
40621		
40622		
40623		
40624		
40625		
40631		
40632		
40633		
40634		
40635		
40641		
40642		
40643		
40644		
40645		
40651		
40652		
40653		
40654		
40655		
40661		
40662		
40663		
40664		
40665		
40671		
40672		
40673		
40674		
40675		
40681		
40682		
40683		
40684		
40685		
40691		
40692		
40693		
40694		
40695		
40701		
40702		
40703		
40704		
40705		
40711		
40712		
40713		
40714		
40715		
40721		
40722		
40723		
40724		
40725		
40731		
40732		
40733		
40734		
40735		
40741		
40742		
40743		
40744		
40745		
40751		
40752		
40753		
40754		
40755		
40761		
40762		
40763		
40764		
40765		
40771		
40772		
40773		
40774		
40775		
40781		
40782		
40783		
40784		
40785		
40791		
40792		
40793		
40794		
40795		
40801		
40802		
40803		
40804		
40805		
40811		
40812		
40813		
40814		
40815		
40821		
40822		
40823		
40824		
40825		
40831		
40832		
40833		
40834		
40835		
40841		
40842		
40843		
40844		
40845		
40851		
40852		
40853		
40854		
40855		
40861		
40862		
40863		
40864		
40865		
40871		
40872		
40873		
40874		
40875		
40881		
40882		
40883		
40884		
40885		
40891		
40892		
40893		
40894		
40895		
40901		
40902		
40903		
40904		
40905		
40911		
40912		
40913		
40914		
40915		
40921		
40922		
40923		
40924		
40925		
40931		
40932		
40933		
40934		
40935		
40941		
40942		
40943		
40944		
40945		
40951		
40952		
40953		
40954		
40955		
40961		
40962		
40963		
40964		
40965		
40971		
40972		
40973		
40974		
40975		
40981		
40982		
40983		
40984		
40985		
40991		
40992		
40993		
40994		
40995		
41001		
41002		
41003		
41004		
41005		
41011		
41012		
41013		
41014		
41015		
41021		
41022		
41023		
41024		
41025		
41031		
41032		
41033		
41034		
41035		
41041		
41042		
41043		
41044		
41045		
41051		
41052		
41053		
41054		
41055		
41061		
41062		
41063		
41064		
41065		
41071		
41072		
41073		
41074		
41075		
41081		
41082		
41083		
41084		
41085		
41091		
41092		
41093		
41094		
41095		
41101		
41102		
41103		
41104		
41105		
41111		
41112		
41113		
41114		
41115		
41121		
41122		
41123		
41124		
41125		
41131		
41132		
41133		
41134		
41135		
41141		
41142		
41143		
41144		
41145		
41151		
41152		
41153		
41154		
41155		
41161		
41162		
41163		
41164		
41165		
41171		
41172		
41173		
41174		
41175		
41181		
41182		
41183		
41184		
41185		
41191		
41192		
41193		
41194		
41195		
41201		
41202		
41203		
41204		
41205		
41211		
41212		
41213		
41214		
41215		
101000		101000
101100		101100
101200		101200
101300		101300
101400		101400
101500		101500
101600		101600
101700		101700
101800		101800
101900		101900
102000		102000
102100		102100
102200		102200
102300		102300
102400		102400
102500		102500
102600		102600
102700		102700
102800		102800
102900		102900
103000		103000
103100		103100
103200		103200
103300		103300
103400		103400
103500		103500
103600		103600
103700		103700
103800		103800
103900		103900
104000		104000
104100		104100
104200		104200
104300		104300
104400		104400
104500		104500
104600		104600
104700		104700
104800		104800
104900		104900
105000		105000
105100		105100
105200		105200
105300		105300
105400		105400
105500		105500
105600		105600
105700		105700
998001		999001
999001		999001
999002		999002
999003		999003
