id	feature_id	boost_rate	open_time	close_time	open_date	close_date
70201	702	1.5	32400	39599	2023-07-01 11:00:00	2023-07-05 23:59:59
70202	702	1.5	64800	71999	2023-07-01 11:00:00	2023-07-05 23:59:59
70203	702	2.0	25200	32399	2023-07-06 00:00:00	2023-07-06 23:59:59
70204	702	2.0	72000	82799	2023-07-06 00:00:00	2023-07-06 23:59:59
70205	702	1.5	39600	46799	2023-07-07 00:00:00	2023-07-10 21:59:59
70206	702	1.5	57600	64799	2023-07-07 00:00:00	2023-07-10 21:59:59
70301	703	1.5	43200	50399	2023-07-13 00:00:00	2023-07-23 00:00:00
70401	704	1.5	25200	28799	2023-07-29 11:00:00	2023-08-08 23:59:59
70402	704	1.5	43200	46799	2023-07-29 11:00:00	2023-08-08 23:59:59
70403	704	1.5	64800	68399	2023-07-29 11:00:00	2023-08-08 23:59:59
70404	704	1.5	75600	82799	2023-07-29 11:00:00	2023-08-08 23:59:59
70405	704	1.5	25200	28799	2023-08-09 00:00:00	2023-08-09 21:59:59
70406	704	1.5	43200	46799	2023-08-09 00:00:00	2023-08-09 21:59:59
70407	704	1.5	61200	79199	2023-08-09 00:00:00	2023-08-09 21:59:59
70501	705	1.5	25200	28799	2023-08-11 11:00:00	2023-08-21 23:59:59
70502	705	1.5	43200	46799	2023-08-11 11:00:00	2023-08-21 23:59:59
70503	705	1.5	64800	68399	2023-08-11 11:00:00	2023-08-21 23:59:59
70504	705	1.5	75600	82799	2023-08-11 11:00:00	2023-08-21 23:59:59
70505	705	1.5	25200	28799	2023-08-22 00:00:00	2023-08-22 21:59:59
70506	705	1.5	43200	46799	2023-08-22 00:00:00	2023-08-22 21:59:59
70507	705	1.5	61200	79199	2023-08-22 00:00:00	2023-08-22 21:59:59
